,id,median_age,Geographic Area Name,year,total_pop
97,0500000US04003,40.6,"Cochise County, Arizona",2018,126279
98,0500000US04005,30.6,"Coconino County, Arizona",2018,140217
99,0500000US04007,49.7,"Gila County, Arizona",2018,53400
100,0500000US04009,33.3,"Graham County, Arizona",2018,37879
101,0500000US04011,34.2,"Greenlee County, Arizona",2018,9504
102,0500000US04012,56.0,"La Paz County, Arizona",2018,20701
103,0500000US04013,36.1,"Maricopa County, Arizona",2018,4253913
104,0500000US04015,50.9,"Mohave County, Arizona",2018,206064
105,0500000US04017,36.4,"Navajo County, Arizona",2018,108705
106,0500000US04019,38.3,"Pima County, Arizona",2018,1019722
107,0500000US04021,38.9,"Pinal County, Arizona",2018,419721
108,0500000US04023,36.6,"Santa Cruz County, Arizona",2018,46584
109,0500000US04025,52.9,"Yavapai County, Arizona",2018,224645
110,0500000US04027,34.3,"Yuma County, Arizona",2018,207829
111,0500000US05001,41.4,"Arkansas County, Arkansas",2018,18124
112,0500000US05003,41.7,"Ashley County, Arkansas",2018,20537
113,0500000US05005,52.1,"Baxter County, Arkansas",2018,41219
114,0500000US05007,35.3,"Benton County, Arkansas",2018,258980
115,0500000US05009,42.4,"Boone County, Arkansas",2018,37288
116,0500000US05011,40.2,"Bradley County, Arkansas",2018,10948
117,0500000US05013,45.5,"Calhoun County, Arkansas",2018,5202
118,0500000US05015,44.8,"Carroll County, Arkansas",2018,27887
119,0500000US05017,42.7,"Chicot County, Arkansas",2018,10826
120,0500000US05019,34.1,"Clark County, Arkansas",2018,22385
121,0500000US05021,43.0,"Clay County, Arkansas",2018,15061
122,0500000US05023,49.4,"Cleburne County, Arkansas",2018,25230
123,0500000US05025,42.7,"Cleveland County, Arkansas",2018,8226
124,0500000US05027,36.0,"Columbia County, Arkansas",2018,23892
125,0500000US05029,41.7,"Conway County, Arkansas",2018,20906
126,0500000US05031,34.1,"Craighead County, Arkansas",2018,105701
127,0500000US05033,38.7,"Crawford County, Arkansas",2018,62472
128,0500000US05035,35.1,"Crittenden County, Arkansas",2018,49013
129,0500000US05037,41.2,"Cross County, Arkansas",2018,16998
130,0500000US05039,43.7,"Dallas County, Arkansas",2018,7432
131,0500000US05041,39.1,"Desha County, Arkansas",2018,11887
132,0500000US05043,37.0,"Drew County, Arkansas",2018,18502
133,0500000US05045,32.5,"Faulkner County, Arkansas",2018,122416
134,0500000US05047,41.3,"Franklin County, Arkansas",2018,17780
135,0500000US05049,48.1,"Fulton County, Arkansas",2018,12139
136,0500000US05051,44.9,"Garland County, Arkansas",2018,98296
137,0500000US05053,40.4,"Grant County, Arkansas",2018,18086
138,0500000US05055,37.9,"Greene County, Arkansas",2018,44623
139,0500000US05057,39.9,"Hempstead County, Arkansas",2018,22018
140,0500000US05059,41.3,"Hot Spring County, Arkansas",2018,33520
141,0500000US05061,38.8,"Howard County, Arkansas",2018,13389
142,0500000US05063,39.4,"Independence County, Arkansas",2018,37264
143,0500000US05065,48.0,"Izard County, Arkansas",2018,13559
144,0500000US05067,39.9,"Jackson County, Arkansas",2018,17225
145,0500000US05069,38.8,"Jefferson County, Arkansas",2018,70424
146,0500000US05071,38.0,"Johnson County, Arkansas",2018,26291
147,0500000US05073,46.3,"Lafayette County, Arkansas",2018,6915
148,0500000US05075,41.1,"Lawrence County, Arkansas",2018,16669
149,0500000US05077,41.8,"Lee County, Arkansas",2018,9398
150,0500000US05079,38.6,"Lincoln County, Arkansas",2018,13695
151,0500000US05081,42.6,"Little River County, Arkansas",2018,12417
152,0500000US05083,41.5,"Logan County, Arkansas",2018,21757
