StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,166,Weekly,1/24/21,1/30/21,In-person,,,,"94.58% FaceToFace, 0% Hybrid, 5.42% Distance",,,,157,0,9,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,166,Weekly,1/31/21,2/6/21,In-person,,,,"94.58% FaceToFace, 0% Hybrid, 5.42% Distance",,,,157,0,9,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,166,Weekly,2/7/21,2/13/21,In-person,,,,"94.58% FaceToFace, 0% Hybrid, 5.42% Distance",,,,157,0,9,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,2/14/21,2/20/21,In-person,,,,"94.44% FaceToFace, 0% Hybrid, 5.56% Distance",,,,153,0,9,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,2/21/21,2/27/21,In-person,,,,"94.44% FaceToFace, 0% Hybrid, 5.56% Distance",,,,153,0,9,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,2/28/21,3/6/21,In-person,,,,"94.44% FaceToFace, 0% Hybrid, 5.56% Distance",,,,153,0,9,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,3/7/21,3/13/21,In-person,,,,"94.44% FaceToFace, 0% Hybrid, 5.56% Distance",,,,153,0,9,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,161,Weekly,3/14/21,3/20/21,In-person,,,,"94.41% FaceToFace, 0% Hybrid, 5.59% Distance",,,,152,0,9,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,161,Weekly,3/21/21,3/27/21,In-person,,,,"94.41% FaceToFace, 0% Hybrid, 5.59% Distance",,,,152,0,9,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,160,Weekly,3/28/21,4/3/21,In-person,,,,"94.38% FaceToFace, 0% Hybrid, 5.63% Distance",,,,151,0,9,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,160,Weekly,4/4/21,4/10/21,In-person,,,,"94.38% FaceToFace, 0% Hybrid, 5.63% Distance",,,,151,0,9,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,160,Weekly,4/11/21,4/17/21,In-person,,,,"94.38% FaceToFace, 0% Hybrid, 5.63% Distance",,,,151,0,9,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,160,Weekly,4/18/21,4/24/21,In-person,,,,"94.38% FaceToFace, 0% Hybrid, 5.63% Distance",,,,151,0,9,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,160,Weekly,4/25/21,5/1/21,In-person,,,,"94.38% FaceToFace, 0% Hybrid, 5.63% Distance",,,,151,0,9,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,5/2/21,5/8/21,In-person,,,,"94.44% FaceToFace, 0% Hybrid, 5.56% Distance",,,,153,0,9,,
North Dakota,ND,School,No,Alexander Elementary School,Regular school,3.80176E+11,2700203151,Alexander 2,Regular local school district,3801760,27002,162,Weekly,5/9/21,5/15/21,In-person,,,,"94.44% FaceToFace, 0% Hybrid, 5.56% Distance",,,,153,0,9,,
North Dakota,ND,School,No,Alexander High School,Regular school,3.80176E+11,2700203153,Alexander 2,Regular local school district,3801760,27002,112,Weekly,9/13/20,9/19/20,In-person,,,,"92.86% FaceToFace, 0% Hybrid, 7.14% Distance",,,,104,0,8,,
North Dakota,ND,School,No,Alexander High School,Regular school,3.80176E+11,2700203153,Alexander 2,Regular local school district,3801760,27002,112,Weekly,9/20/20,9/26/20,In-person,,,,"92.86% FaceToFace, 0% Hybrid, 7.14% Distance",,,,104,0,8,,
North Dakota,ND,School,No,Alexander High School,Regular school,3.80176E+11,2700203153,Alexander 2,Regular local school district,3801760,27002,112,Weekly,9/27/20,10/3/20,In-person,,,,"92.86% FaceToFace, 0% Hybrid, 7.14% Distance",,,,104,0,8,,
North Dakota,ND,School,No,Alexander High School,Regular school,3.80176E+11,2700203153,Alexander 2,Regular local school district,3801760,27002,113,Weekly,10/4/20,10/10/20,In-person,,,,"92.92% FaceToFace, 0% Hybrid, 7.08% Distance",,,,105,0,8,,
North Dakota,ND,School,No,Alexander High School,Regular school,3.80176E+11,2700203153,Alexander 2,Regular local school district,3801760,27002,113,Weekly,10/11/20,10/17/20,In-person,,,,"92.92% FaceToFace, 0% Hybrid, 7.08% Distance",,,,105,0,8,,
North Dakota,ND,School,No,Alexander High School,Regular school,3.80176E+11,2700203153,Alexander 2,Regular local school district,3801760,27002,111,Weekly,10/18/20,10/24/20,In-person,,,,"93.69% FaceToFace, 0% Hybrid, 6.31% Distance",,,,104,0,7,,
North Dakota,ND,School,No,Alexander High School,Regular school,3.80176E+11,2700203153,Alexander 2,Regular local school district,3801760,27002,111,Weekly,10/25/20,10/31/20,In-person,,,,"93.69% FaceToFace, 0% Hybrid, 6.31% Distance",,,,104,0,7,,
North Dakota,ND,School,No,Alexander High School,Regular school,3.80176E+11,2700203153,Alexander 2,Regular local school district,3801760,27002,111,Weekly,11/1/20,11/7/20,In-person,,,,"93.69% FaceToFace, 0% Hybrid, 6.31% Distance",,,,104,0,7,,
North Dakota,ND,School,No,Alexander High School,Regular school,3.80176E+11,2700203153,Alexander 2,Regular local school district,3801760,27002,111,Weekly,11/8/20,11/14/20,In-person,,,,"93.69% FaceToFace, 0% Hybrid, 6.31% Distance",,,,104,0,7,,
North Dakota,ND,School,No,Alexander High School,Regular school,3.80176E+11,2700203153,Alexander 2,Regular local school district,3801760,27002,111,Weekly,11/15/20,11/21/20,In-person,,,,"92.79% FaceToFace, 0% Hybrid, 7.21% Distance",,,,103,0,8,,
North Dakota,ND,School,No,Alexander High School,Regular school,3.80176E+11,2700203153,Alexander 2,Regular local school district,3801760,27002,112,Weekly,11/22/20,11/28/20,In-person,,,,"89.29% FaceToFace, 0% Hybrid, 10.71% Distance",,,,100,0,12,,
North Dakota,ND,School,No,Alexander High School,Regular school,3.80176E+11,2700203153,Alexander 2,Regular local school district,3801760,27002,112,Weekly,11/29/20,12/5/20,In-person,,,,"89.29% FaceToFace, 0% Hybrid, 10.71% Distance",,,,100,0,12,,
North Dakota,ND,School,No,Alexander High School,Regular school,3.80176E+11,2700203153,Alexander 2,Regular local school district,3801760,27002,111,Weekly,12/6/20,12/12/20,In-person,,,,"90.09% FaceToFace, 0% Hybrid, 9.91% Distance",,,,100,0,11,,
North Dakota,ND,School,No,Alexander High School,Regular school,3.80176E+11,2700203153,Alexander 2,Regular local school district,3801760,27002,111,Weekly,12/13/20,12/19/20,In-person,,,,"90.09% FaceToFace, 0% Hybrid, 9.91% Distance",,,,100,0,11,,
North Dakota,ND,School,No,Alexander High School,Regular school,3.80176E+11,2700203153,Alexander 2,Regular local school district,3801760,27002,111,Weekly,12/20/20,12/26/20,In-person,,,,"90.09% FaceToFace, 0% Hybrid, 9.91% Distance",,,,100,0,11,,
