,poverty_rate,per_capita_income_2007,year,fips
172,16.4,34975.0,2007,5117.0
173,15.5,44909.0,2007,5119.0
174,17.4,32600.0,2007,5121.0
175,32.6,28318.0,2007,5123.0
176,10.7,50849.0,2007,5125.0
177,22.5,33884.0,2007,5127.0
178,23.9,24515.0,2007,5129.0
179,16.1,40545.0,2007,5131.0
180,18.4,33281.0,2007,5133.0
181,23.1,27176.0,2007,5135.0
182,21.1,27287.0,2007,5137.0
183,19.0,37120.0,2007,5139.0
184,17.1,31924.0,2007,5141.0
185,15.4,42909.0,2007,5143.0
186,15.5,37809.0,2007,5145.0
187,26.5,26550.0,2007,5147.0
188,18.1,34169.0,2007,5149.0
190,11.0,68263.0,2007,6001.0
191,15.9,46136.0,2007,6003.0
192,10.1,54903.0,2007,6005.0
193,17.1,39466.0,2007,6007.0
194,10.3,51447.0,2007,6009.0
195,12.7,43882.0,2007,6011.0
196,8.7,76317.0,2007,6013.0
197,22.3,35910.0,2007,6015.0
198,8.2,64256.0,2007,6017.0
199,20.0,46547.0,2007,6019.0
200,15.8,38521.0,2007,6021.0
201,16.9,37281.0,2007,6023.0
202,21.0,33576.0,2007,6025.0
203,11.4,46865.0,2007,6027.0
204,18.1,46639.0,2007,6029.0
205,17.2,45087.0,2007,6031.0
206,16.4,38113.0,2007,6033.0
207,17.2,47676.0,2007,6035.0
208,14.6,53494.0,2007,6037.0
209,16.9,44259.0,2007,6039.0
210,6.8,83910.0,2007,6041.0
211,12.5,42757.0,2007,6043.0
212,15.4,42329.0,2007,6045.0
213,19.3,43789.0,2007,6047.0
214,19.6,33713.0,2007,6049.0
215,9.6,54174.0,2007,6051.0
216,12.1,56668.0,2007,6053.0
217,8.6,61988.0,2007,6055.0
218,8.8,58658.0,2007,6057.0
219,8.9,73107.0,2007,6059.0
220,6.0,69667.0,2007,6061.0
221,11.5,45516.0,2007,6063.0
222,11.7,57736.0,2007,6065.0
223,12.2,56823.0,2007,6067.0
224,11.7,66273.0,2007,6069.0
225,12.1,55995.0,2007,6071.0
226,11.1,61724.0,2007,6073.0
227,10.6,67333.0,2007,6075.0
228,14.2,51874.0,2007,6077.0
229,11.5,55942.0,2007,6079.0
230,6.0,82913.0,2007,6081.0
231,12.2,57741.0,2007,6083.0
232,8.3,84265.0,2007,6085.0
233,10.6,62849.0,2007,6087.0
234,13.4,41980.0,2007,6089.0
235,11.7,44950.0,2007,6091.0
236,17.7,35692.0,2007,6093.0
237,9.6,66575.0,2007,6095.0
238,8.9,62279.0,2007,6097.0
239,13.6,50367.0,2007,6099.0
240,12.2,49104.0,2007,6101.0
241,19.3,36884.0,2007,6103.0
242,17.0,35439.0,2007,6105.0
243,23.2,40444.0,2007,6107.0
