,poverty_rate,per_capita_income_2002,fips,year
217,7.0,52113,6055,2002
218,7.6,47478,6057,2002
219,10.2,55992,6059,2002
220,5.5,60543,6061,2002
221,9.8,38558,6063,2002
222,12.9,42929,6065,2002
223,12.7,45231,6067,2002
224,8.8,56279,6069,2002
225,15.7,41583,6071,2002
226,10.9,47867,6073,2002
227,10.7,53087,6075,2002
228,14.2,41042,6077,2002
229,10.7,43456,6079,2002
230,5.9,67440,6081,2002
231,12.4,46432,6083,2002
232,7.8,70216,6085,2002
233,10.6,51774,6087,2002
234,13.4,35374,6089,2002
235,9.7,36588,6091,2002
236,15.6,30285,6093,2002
237,7.9,55349,6095,2002
238,7.5,53230,6097,2002
239,13.8,40000,6099,2002
240,13.0,38585,6101,2002
241,16.3,31307,6103,2002
242,16.1,28170,6105,2002
243,22.5,32033,6107,2002
244,12.1,38770,6109,2002
245,9.0,57052,6111,2002
246,11.3,42412,6113,2002
247,17.8,30860,6115,2002
249,9.7,46876,8001,2002
250,19.1,30427,8003,2002
251,7.0,55188,8005,2002
252,13.3,37345,8007,2002
253,18.5,25364,8009,2002
254,21.7,26485,8011,2002
255,8.2,55810,8013,2002
256,4.7,65155,8014,2002
257,12.1,35366,8015,2002
258,12.7,32739,8017,2002
259,6.4,55079,8019,2002
260,21.5,24959,8021,2002
261,25.5,20731,8023,2002
262,40.3,23963,8025,2002
263,12.2,35938,8027,2002
264,14.7,32894,8029,2002
265,14.5,40082,8031,2002
266,14.2,30108,8033,2002
267,2.3,93927,8035,2002
268,6.4,59682,8037,2002
269,5.6,66648,8039,2002
270,9.2,48626,8041,2002
271,16.2,33548,8043,2002
272,8.4,48257,8045,2002
273,6.0,53766,8047,2002
274,7.5,47871,8049,2002
275,13.1,36989,8051,2002
276,12.7,36706,8053,2002
277,22.8,25249,8055,2002
278,13.6,31369,8057,2002
279,6.1,59903,8059,2002
280,11.5,28698,8061,2002
281,14.5,31728,8063,2002
282,13.0,35947,8065,2002
283,10.8,41591,8067,2002
284,8.4,49638,8069,2002
285,16.8,29044,8071,2002
286,16.6,30160,8073,2002
287,13.3,34242,8075,2002
288,11.5,37053,8077,2002
289,10.5,34694,8079,2002
290,9.6,43718,8081,2002
291,16.0,32443,8083,2002
292,12.8,36741,8085,2002
293,12.6,34542,8087,2002
294,18.6,28528,8089,2002
295,8.4,43747,8091,2002
296,7.8,53045,8093,2002
297,11.2,33225,8095,2002
298,5.2,60821,8097,2002
299,18.5,29058,8099,2002
300,14.8,33269,8101,2002
301,10.2,41133,8103,2002
302,17.8,32858,8105,2002
303,6.6,53299,8107,2002
304,32.8,23098,8109,2002
305,17.4,30733,8111,2002
306,9.2,47274,8113,2002
307,13.0,27884,8115,2002
308,6.7,53362,8117,2002
309,7.4,52383,8119,2002
310,12.1,30079,8121,2002
311,10.3,43476,8123,2002
312,12.9,33722,8125,2002
314,7.0,62756,9001,2002
315,8.8,50274,9003,2002
316,5.3,57738,9005,2002
317,4.9,61699,9007,2002
318,9.6,49098,9009,2002
319,6.6,51453,9011,2002
320,5.1,61189,9013,2002
321,8.2,45433,9015,2002
323,11.3,41817,10001,2002
324,8.1,53377,10003,2002
325,11.3,37896,10005,2002
327,17.2,40617,11001,2002
329,15.1,32153,12001,2002
330,13.3,38438,12003,2002
331,12.4,35718,12005,2002
332,17.8,31626,12007,2002
333,9.8,40342,12009,2002
334,11.7,42497,12011,2002
335,20.2,26172,12013,2002
336,10.1,35408,12015,2002
337,13.3,30657,12017,2002
338,6.7,50173,12019,2002
339,9.6,47591,12021,2002
340,17.2,29711,12023,2002
341,21.3,27850,12027,2002
342,20.8,26367,12029,2002
343,11.6,39965,12031,2002
344,15.4,34528,12033,2002
345,9.0,40310,12035,2002
346,15.2,27862,12037,2002
347,18.2,29598,12039,2002
348,16.6,30148,12041,2002
349,15.5,30954,12043,2002
350,18.9,29618,12045,2002
351,25.3,24031,12047,2002
352,23.2,28004,12049,2002
353,18.7,31665,12051,2002
354,12.3,32247,12053,2002
355,14.7,28718,12055,2002
356,12.5,42407,12057,2002
357,20.5,27080,12059,2002
358,10.0,39615,12061,2002
359,17.0,28947,12063,2002
360,16.8,32156,12065,2002
361,23.3,27533,12067,2002
362,10.8,37398,12069,2002
363,10.1,40037,12071,2002
364,12.8,37760,12073,2002
365,17.1,27257,12075,2002
366,20.3,29132,12077,2002
367,19.8,25732,12079,2002
368,10.7,38647,12081,2002
369,14.8,31851,12083,2002
370,9.0,43692,12085,2002
371,19.2,31531,12086,2002
372,9.6,41675,12087,2002
373,8.3,47279,12089,2002
374,9.4,41987,12091,2002
375,16.7,28866,12093,2002
376,12.5,40697,12095,2002
377,13.4,37469,12097,2002
378,10.7,41766,12099,2002
379,12.1,33433,12101,2002
380,11.4,35690,12103,2002
381,13.6,34620,12105,2002
382,19.3,27191,12107,2002
383,7.5,51587,12109,2002
384,12.8,35990,12111,2002
385,9.8,43115,12113,2002
386,8.4,41360,12115,2002
387,8.2,48957,12117,2002
388,15.0,31673,12119,2002
389,16.9,28756,12121,2002
390,17.3,30186,12123,2002
391,21.3,32429,12125,2002
392,12.2,35010,12127,2002
393,12.2,36732,12129,2002
394,15.0,32697,12131,2002
395,18.0,27671,12133,2002
397,17.1,29541,13001,2002
398,21.1,25314,13003,2002
399,18.2,27052,13005,2002
400,22.7,26731,13007,2002
401,17.7,32661,13009,2002
402,12.0,38630,13011,2002
403,10.3,44793,13013,2002
404,10.2,44669,13015,2002
405,19.1,27101,13017,2002
406,16.6,29574,13019,2002
407,18.0,34405,13021,2002
408,14.8,34129,13023,2002
409,16.2,31077,13025,2002
410,22.9,25057,13027,2002
411,9.0,49527,13029,2002
412,19.8,29213,13031,2002
413,20.4,27310,13033,2002
414,13.2,38048,13035,2002
415,26.6,24463,13037,2002
416,10.0,42756,13039,2002
417,21.9,25414,13043,2002
418,13.6,39011,13045,2002
419,10.3,40574,13047,2002
420,22.1,26415,13049,2002
421,15.7,36259,13051,2002
422,28.2,35382,13053,2002
423,15.0,30044,13055,2002
424,6.0,63138,13057,2002
425,18.5,28918,13059,2002
426,25.9,22585,13061,2002
427,13.8,39595,13063,2002
428,21.2,25879,13065,2002
429,9.1,54485,13067,2002
430,21.5,28779,13069,2002
431,20.7,27095,13071,2002
432,6.1,57858,13073,2002
433,18.0,27079,13075,2002
434,8.4,53344,13077,2002
435,13.8,37189,13079,2002
436,22.9,25815,13081,2002
437,12.9,34580,13083,2002
438,9.7,47654,13085,2002
439,21.1,27398,13087,2002
440,12.3,45534,13089,2002
441,19.4,27333,13091,2002
442,21.9,27176,13093,2002
443,21.6,29473,13095,2002
444,9.3,49097,13097,2002
445,24.7,25319,13099,2002
446,21.0,26149,13101,2002
447,9.0,47536,13103,2002
448,15.3,29219,13105,2002
449,23.0,24280,13107,2002
450,21.3,25969,13109,2002
451,14.1,31054,13111,2002
452,4.4,74796,13113,2002
453,15.0,34899,13115,2002
454,4.9,74256,13117,2002
455,14.1,31932,13119,2002
456,15.0,46068,13121,2002
457,14.1,34173,13123,2002
458,13.0,30461,13125,2002
459,14.1,37963,13127,2002
460,11.9,37988,13129,2002
461,19.4,28365,13131,2002
462,18.0,31619,13133,2002
463,7.0,58168,13135,2002
464,12.1,36107,13137,2002
465,11.2,43734,13139,2002
466,25.8,22466,13141,2002
467,15.1,32735,13143,2002
468,8.7,49544,13145,2002
469,13.8,32187,13147,2002
470,15.1,32668,13149,2002
471,6.4,59788,13151,2002
472,10.0,45263,13153,2002
473,19.2,28973,13155,2002
474,11.7,40015,13157,2002
475,13.2,39420,13159,2002
476,17.6,27599,13161,2002
477,19.4,26201,13163,2002
478,22.5,23600,13165,2002
479,24.4,23569,13167,2002
480,10.1,42810,13169,2002
481,15.0,35298,13171,2002
482,20.4,28236,13173,2002
483,16.9,31605,13175,2002
484,9.3,48379,13177,2002
485,15.0,33389,13179,2002
486,14.8,30806,13181,2002
487,20.8,29164,13183,2002
488,17.3,31980,13185,2002
489,12.8,38684,13187,2002
490,16.5,31740,13189,2002
491,18.4,29156,13191,2002
492,25.7,22915,13193,2002
493,12.5,36301,13195,2002
494,20.6,27828,13197,2002
495,17.1,30354,13199,2002
496,19.4,26682,13201,2002
497,22.5,25239,13205,2002
498,11.6,42116,13207,2002
499,20.5,28418,13209,2002
500,11.7,39734,13211,2002
501,12.7,36022,13213,2002
502,16.9,33731,13215,2002
503,10.9,44884,13217,2002
504,6.7,57290,13219,2002
505,12.6,35619,13221,2002
506,6.5,55572,13223,2002
507,18.4,33101,13225,2002
508,10.5,43154,13227,2002
509,16.7,30295,13229,2002
510,10.1,44875,13231,2002
511,14.5,32402,13233,2002
512,18.0,30952,13235,2002
513,13.6,35624,13237,2002
514,22.3,24885,13239,2002
515,12.7,33970,13241,2002
516,25.0,22452,13243,2002
517,18.7,31340,13245,2002
518,9.7,51028,13247,2002
519,15.8,30407,13249,2002
520,18.8,27948,13251,2002
521,22.1,26423,13253,2002
522,15.8,34706,13255,2002
523,15.0,30579,13257,2002
524,22.7,23706,13259,2002
525,21.1,29128,13261,2002
526,17.2,28029,13263,2002
527,23.3,22558,13265,2002
528,25.2,26722,13267,2002
529,20.6,25736,13269,2002
530,24.7,24454,13271,2002
531,23.0,26367,13273,2002
532,16.6,30572,13275,2002
533,18.4,31376,13277,2002
534,22.1,26160,13279,2002
535,12.8,32782,13281,2002
536,24.3,24239,13283,2002
537,14.5,35154,13285,2002
538,23.1,25422,13287,2002
539,16.7,30465,13289,2002
540,13.7,32276,13291,2002
541,17.3,29794,13293,2002
542,13.6,32435,13295,2002
543,10.6,46447,13297,2002
544,20.7,27879,13299,2002
545,19.4,26876,13301,2002
546,19.3,29800,13303,2002
547,19.6,31986,13305,2002
548,15.9,28405,13307,2002
549,30.2,23205,13309,2002
550,12.0,36448,13311,2002
551,11.3,38916,13313,2002
552,26.4,25646,13315,2002
553,17.0,26945,13317,2002
554,14.4,31608,13319,2002
555,17.6,31469,13321,2002
557,14.3,38371,15001,2002
558,10.4,49449,15003,2002
559,0.0,.,15005,2002
560,11.1,41966,15007,2002
561,10.4,46186,15009,2002
563,8.6,47947,16001,2002
564,14.3,30152,16003,2002
565,13.5,37419,16005,2002
566,11.8,33919,16007,2002
567,13.6,32458,16009,2002
568,12.6,37716,16011,2002
569,6.6,52898,16013,2002
570,11.0,40093,16015,2002
571,14.1,33367,16017,2002
572,10.9,43636,16019,2002
573,14.9,31354,16021,2002
574,13.5,32494,16023,2002
575,6.1,36195,16025,2002
576,13.4,36763,16027,2002
577,10.1,40538,16029,2002
578,14.8,34139,16031,2002
579,15.8,32307,16033,2002
580,13.4,32794,16035,2002
581,12.3,33057,16037,2002
582,12.3,35789,16039,2002
583,10.3,38017,16041,2002
584,13.6,35002,16043,2002
585,12.3,34722,16045,2002
586,12.2,33049,16047,2002
587,15.9,29816,16049,2002
588,11.0,40119,16051,2002
589,12.9,34808,16053,2002
590,10.8,39108,16055,2002
591,14.0,34518,16057,2002
592,15.1,29684,16059,2002
593,12.7,33752,16061,2002
594,10.9,34539,16063,2002
595,16.9,32136,16065,2002
596,13.3,32677,16067,2002
597,11.1,36742,16069,2002
598,11.4,35920,16071,2002
599,18.2,28938,16073,2002
600,13.3,34097,16075,2002
601,13.8,33839,16077,2002
602,17.0,28185,16079,2002
603,9.3,42530,16081,2002
604,12.6,35158,16083,2002
605,9.8,38644,16085,2002
606,15.0,30522,16087,2002
608,11.8,36390,17001,2002
609,24.8,25058,17003,2002
610,11.9,37782,17005,2002
611,7.2,52722,17007,2002
612,15.1,34399,17009,2002
613,8.6,41284,17011,2002
614,9.1,37391,17013,2002
615,10.0,37403,17015,2002
616,10.6,35449,17017,2002
617,12.8,39337,17019,2002
618,10.4,37754,17021,2002
619,11.2,36673,17023,2002
620,12.4,31962,17025,2002
621,7.3,45877,17027,2002
622,13.7,33687,17029,2002
623,14.5,42863,17031,2002
624,12.0,34904,17033,2002
625,10.1,37287,17035,2002
626,9.3,45977,17037,2002
627,9.5,41643,17039,2002
628,8.6,41642,17041,2002
629,5.3,64350,17043,2002
630,12.5,33776,17045,2002
631,10.1,34422,17047,2002
632,8.7,41222,17049,2002
633,14.2,32262,17051,2002
634,8.6,40583,17053,2002
635,15.4,29982,17055,2002
636,11.9,34547,17057,2002
637,16.0,27861,17059,2002
638,12.8,32654,17061,2002
639,5.6,55784,17063,2002
640,13.0,31641,17065,2002
641,10.3,37704,17067,2002
642,17.3,28246,17069,2002
643,10.8,36519,17071,2002
644,8.3,41804,17073,2002
645,10.0,38252,17075,2002
646,20.1,26712,17077,2002
647,9.9,37196,17079,2002
648,15.2,34011,17081,2002
649,9.4,42957,17083,2002
650,8.1,41143,17085,2002
651,15.1,34114,17087,2002
652,7.1,59721,17089,2002
653,11.8,41364,17091,2002
654,3.9,69760,17093,2002
655,13.1,34811,17095,2002
656,6.4,68089,17097,2002
657,9.9,41749,17099,2002
658,12.9,31677,17101,2002
659,8.9,41495,17103,2002
660,9.5,43114,17105,2002
661,11.4,39260,17107,2002
662,17.6,31748,17109,2002
663,4.2,68455,17111,2002
664,8.7,49944,17113,2002
665,13.5,37908,17115,2002
666,10.2,37422,17117,2002
667,10.1,42504,17119,2002
668,15.1,33895,17121,2002
669,7.9,42315,17123,2002
670,11.3,36621,17125,2002
671,13.0,33190,17127,2002
672,8.0,48847,17129,2002
673,8.2,42992,17131,2002
674,4.1,59376,17133,2002
675,12.9,34239,17135,2002
676,11.8,37182,17137,2002
677,8.7,40050,17139,2002
678,7.9,46114,17141,2002
679,12.9,41183,17143,2002
680,13.8,33274,17145,2002
681,6.2,47891,17147,2002
682,13.4,32278,17149,2002
683,15.0,30160,17151,2002
684,21.8,25640,17153,2002
685,7.1,45754,17155,2002
686,11.8,36982,17157,2002
687,12.3,32352,17159,2002
688,11.2,38746,17161,2002
689,13.5,39970,17163,2002
690,17.0,29591,17165,2002
691,9.9,44865,17167,2002
692,9.7,36753,17169,2002
693,10.2,37013,17171,2002
694,9.9,37310,17173,2002
695,9.5,37077,17175,2002
696,10.4,40137,17177,2002
697,7.6,46643,17179,2002
698,13.7,32323,17181,2002
699,14.1,34122,17183,2002
700,11.3,36282,17185,2002
701,11.9,35710,17187,2002
702,7.9,42017,17189,2002
703,12.5,32028,17191,2002
704,13.2,31458,17193,2002
705,9.2,39591,17195,2002
706,6.2,63067,17197,2002
707,13.8,33697,17199,2002
708,11.8,42872,17201,2002
709,5.9,52779,17203,2002
711,10.1,41489,18001,2002
712,9.4,43077,18003,2002
713,7.8,45300,18005,2002
714,7.3,40134,18007,2002
715,9.6,35907,18009,2002
716,5.3,56746,18011,2002
717,7.7,46134,18013,2002
718,7.3,44608,18015,2002
719,9.4,38446,18017,2002
720,9.0,40301,18019,2002
721,9.7,37665,18021,2002
722,8.6,40785,18023,2002
723,13.3,33306,18025,2002
724,12.7,34749,18027,2002
725,6.3,51194,18029,2002
726,8.2,42653,18031,2002
727,6.4,45833,18033,2002
728,12.8,34810,18035,2002
729,5.0,47638,18037,2002
730,9.4,43982,18039,2002
731,10.3,38136,18041,2002
732,8.4,44452,18043,2002
733,9.0,38777,18045,2002
734,7.6,46420,18047,2002
735,9.9,38900,18049,2002
736,8.2,40024,18051,2002
737,12.5,35954,18053,2002
738,11.0,35391,18055,2002
739,3.5,80818,18057,2002
740,4.8,58477,18059,2002
741,7.8,44606,18061,2002
742,4.1,59917,18063,2002
743,9.1,39438,18065,2002
744,9.4,44442,18067,2002
745,7.4,42277,18069,2002
746,8.6,40359,18071,2002
747,7.1,45493,18073,2002
748,10.5,35196,18075,2002
749,10.1,38325,18077,2002
