,poverty_rate,per_capita_income_2009,year,fips
2,11.2,53081.0,2009,1001.0
3,13.3,48637.0,2009,1003.0
4,32.8,28802.0,2009,1005.0
5,18.1,38294.0,2009,1007.0
6,14.6,41520.0,2009,1009.0
7,34.7,24206.0,2009,1011.0
8,29.4,27794.0,2009,1013.0
9,19.0,37340.0,2009,1015.0
10,20.7,30621.0,2009,1017.0
11,18.4,38024.0,2009,1019.0
12,18.7,38916.0,2009,1021.0
13,22.8,31067.0,2009,1023.0
14,29.1,32729.0,2009,1025.0
15,19.2,34831.0,2009,1027.0
16,17.0,37870.0,2009,1029.0
17,15.7,43296.0,2009,1031.0
18,16.0,37111.0,2009,1033.0
19,27.5,26882.0,2009,1035.0
20,16.7,34795.0,2009,1037.0
21,22.5,32179.0,2009,1039.0
22,20.6,31849.0,2009,1041.0
23,19.3,37425.0,2009,1043.0
24,16.2,41279.0,2009,1045.0
25,35.0,27088.0,2009,1047.0
26,21.7,33919.0,2009,1049.0
27,14.2,50194.0,2009,1051.0
28,22.0,31443.0,2009,1053.0
29,17.2,38575.0,2009,1055.0
30,19.6,34262.0,2009,1057.0
31,21.8,32588.0,2009,1059.0
32,19.4,31347.0,2009,1061.0
33,28.4,26131.0,2009,1063.0
34,26.6,30124.0,2009,1065.0
35,18.7,35215.0,2009,1067.0
36,17.7,38751.0,2009,1069.0
37,16.4,35015.0,2009,1071.0
38,16.5,43312.0,2009,1073.0
39,18.2,31226.0,2009,1075.0
40,14.5,39096.0,2009,1077.0
41,16.2,36311.0,2009,1079.0
42,20.7,37836.0,2009,1081.0
43,13.5,46610.0,2009,1083.0
44,28.8,28100.0,2009,1085.0
45,38.6,26328.0,2009,1087.0
46,10.3,57327.0,2009,1089.0
47,24.9,31867.0,2009,1091.0
48,21.2,32317.0,2009,1093.0
49,19.1,37506.0,2009,1095.0
50,18.7,39828.0,2009,1097.0
51,23.4,30920.0,2009,1099.0
52,19.9,41084.0,2009,1101.0
53,15.9,40317.0,2009,1103.0
54,31.0,24351.0,2009,1105.0
55,28.0,29677.0,2009,1107.0
56,27.6,31229.0,2009,1109.0
57,21.1,33869.0,2009,1111.0
58,19.9,33537.0,2009,1113.0
59,13.8,45601.0,2009,1115.0
60,6.9,65408.0,2009,1117.0
61,35.1,22857.0,2009,1119.0
62,18.9,37260.0,2009,1121.0
63,17.8,35702.0,2009,1123.0
64,19.9,41842.0,2009,1125.0
65,16.0,36582.0,2009,1127.0
66,19.3,36946.0,2009,1129.0
67,34.6,22611.0,2009,1131.0
68,24.9,31062.0,2009,1133.0
70,13.9,50444.0,2009,2013.0
71,9.1,58174.0,2009,2016.0
72,7.6,72210.0,2009,2020.0
73,20.7,41810.0,2009,2050.0
