,poverty_rate,per_capita_income_2003,fips,year
2,10.4,44241,1001,2003
3,10.1,41961,1003,2003
4,22.2,26062,1005,2003
5,16.8,32924,1007,2003
6,11.9,37758,1009,2003
7,26.5,20903,1011,2003
8,20.0,26951,1013,2003
9,16.4,33137,1015,2003
10,16.3,30844,1017,2003
11,15.3,32158,1019,2003
12,14.9,34201,1021,2003
13,18.8,26829,1023,2003
14,19.2,28644,1025,2003
15,14.0,29456,1027,2003
16,14.0,32834,1029,2003
17,13.7,35739,1031,2003
18,14.0,33550,1033,2003
19,22.1,23726,1035,2003
20,13.5,29801,1037,2003
21,17.5,28670,1039,2003
22,17.6,28358,1041,2003
23,13.3,34056,1043,2003
24,15.7,32774,1045,2003
25,25.2,24456,1047,2003
26,15.1,31310,1049,2003
27,12.4,42687,1051,2003
28,18.7,28608,1053,2003
29,15.7,31512,1055,2003
30,16.1,30216,1057,2003
31,17.4,28277,1059,2003
32,17.6,28040,1061,2003
33,25.1,21963,1063,2003
34,20.8,26138,1065,2003
35,16.3,31504,1067,2003
36,15.3,35866,1069,2003
37,14.4,33128,1071,2003
38,14.5,38305,1073,2003
39,16.1,28913,1075,2003
40,15.6,34422,1077,2003
41,14.4,34195,1079,2003
42,15.2,33550,1081,2003
43,11.9,40901,1083,2003
44,23.5,24090,1085,2003
45,26.0,22594,1087,2003
46,10.9,48719,1089,2003
47,20.2,28815,1091,2003
48,16.8,27227,1093,2003
49,15.2,33756,1095,2003
50,18.5,32850,1097,2003
51,17.8,29027,1099,2003
52,18.0,35592,1101,2003
53,13.2,39965,1103,2003
54,28.7,20630,1105,2003
55,19.5,26895,1107,2003
56,20.4,26615,1109,2003
57,15.7,29435,1111,2003
58,18.6,28547,1113,2003
59,13.1,38713,1115,2003
60,6.8,60894,1117,2003
61,26.6,20627,1119,2003
62,16.8,33191,1121,2003
63,16.1,30626,1123,2003
64,16.5,35268,1125,2003
65,14.8,31298,1127,2003
66,16.9,31198,1129,2003
67,28.1,19633,1131,2003
68,16.9,27430,1133,2003
70,11.9,39239,2013,2003
71,7.2,50367,2016,2003
72,8.7,55197,2020,2003
73,20.7,35326,2050,2003
74,8.1,55876,2060,2003
75,6.7,52230,2068,2003
76,18.0,40477,2070,2003
77,7.7,52492,2090,2003
78,11.5,39003,2100,2003
