,total_pop,pct_female,pct_white,pct_black,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_hispanic,fips
78,2135,46.2,49.0,3.4,33.3,2.3,0.0,11.0,9.3,02105
79,32099,48.7,66.4,0.9,10.1,6.8,1.2,13.4,6.9,02110
80,58809,48.0,81.4,0.6,7.9,1.7,0.4,6.5,4.2,02122
81,13833,48.4,65.0,0.7,14.7,8.3,0.2,9.7,5.5,02130
82,13383,46.6,53.3,0.5,12.4,22.9,0.2,9.5,9.0,02150
83,8298,46.0,3.3,0.5,93.0,0.1,0.1,2.4,1.1,02158
84,1156,54.2,24.3,6.9,58.7,2.2,0.3,7.4,0.3,02164
85,107360,48.1,81.8,1.4,6.0,1.5,0.3,8.4,5.2,02170
86,10009,47.6,14.9,0.7,76.5,2.7,0.0,5.0,1.9,02180
87,9375,39.4,28.6,1.6,52.6,5.8,2.2,7.8,4.1,02185
88,7709,45.2,11.6,1.0,81.9,1.2,0.1,4.0,2.5,02188
89,3278,49.4,67.3,2.0,6.9,14.5,0.2,8.7,7.7,02195
90,6338,45.3,47.2,0.6,39.3,1.5,0.6,10.6,3.8,02198
91,8569,48.6,64.4,0.6,11.5,7.6,0.2,14.9,6.9,02220
92,1300,49.6,79.0,4.5,4.5,2.6,0.0,9.2,4.0,02230
93,6911,45.5,75.3,1.0,14.1,2.8,0.2,4.1,6.6,02240
94,2510,46.0,65.2,0.3,22.7,1.7,1.3,8.3,3.9,02275
95,597,40.7,38.5,5.7,28.8,8.4,0.3,16.6,15.6,02282
96,5305,47.7,22.3,0.1,69.8,0.6,0.0,7.0,2.5,02290
97,71714,50.7,22.0,0.8,73.3,0.4,0.1,2.4,6.6,04001
98,126442,49.1,82.1,4.1,1.2,1.9,0.3,8.0,35.5,04003
99,142254,50.7,63.1,1.4,26.1,1.9,0.1,4.4,14.4,04005
100,53846,50.5,74.0,0.7,16.1,0.8,0.1,4.9,19.0,04007
101,38304,46.6,77.5,1.8,12.6,0.7,0.1,5.9,33.1,04009
102,9465,46.5,87.7,1.8,3.8,0.4,0.0,4.8,47.3,04011
103,21035,48.9,74.1,1.0,14.6,0.8,0.0,5.5,27.7,04012
104,4412779,50.6,73.8,5.7,1.9,4.2,0.2,7.1,31.1,04013
105,210998,49.6,88.0,0.9,2.0,1.2,0.2,4.5,16.7,04015
106,110271,49.9,47.3,1.1,43.9,0.5,0.1,3.6,11.7,04017
107,1038476,50.8,73.3,3.5,3.6,2.9,0.2,7.8,37.5,04019
108,447559,48.1,76.8,4.5,4.7,1.6,0.4,6.9,30.5,04021
109,46594,51.8,78.2,0.9,0.6,0.4,0.0,10.6,83.3,04023
