,year,total_pop,pct_female,pct_white,pct_black,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_hispanic,fips
53,2013,19516,0.524,0.5710000000000001,0.413,0.0,0.0,0.0,0.013999999999999999,0.018000000000000002,01107
54,2013,32977,0.523,0.589,0.364,0.008,0.019,0.0,0.018000000000000002,0.023,01109
55,2013,22819,0.512,0.768,0.203,0.004,0.002,0.0,0.015,0.028999999999999998,01111
56,2013,55544,0.517,0.539,0.418,0.002,0.006999999999999999,0.002,0.02,0.042,01113
57,2013,84521,0.5,0.8840000000000001,0.091,0.004,0.006999999999999999,0.0,0.009000000000000001,0.021,01115
58,2013,198366,0.512,0.8240000000000001,0.11199999999999999,0.003,0.02,0.0,0.011000000000000001,0.059000000000000004,01117
59,2013,13552,0.549,0.24800000000000003,0.731,0.004,0.01,0.0,0.002,0.008,01119
60,2013,81845,0.514,0.654,0.32,0.004,0.004,0.0,0.013000000000000001,0.021,01121
61,2013,41428,0.517,0.708,0.276,0.003,0.0,0.0,0.008,0.025,01123
62,2013,196824,0.516,0.67,0.30100000000000005,0.002,0.013000000000000001,0.0,0.008,0.031000000000000003,01125
63,2013,66622,0.514,0.912,0.055,0.003,0.003,0.0,0.021,0.021,01127
64,2013,17284,0.504,0.6559999999999999,0.244,0.078,0.01,0.0,0.008,0.011000000000000001,01129
65,2013,11531,0.528,0.27,0.7290000000000001,0.0,0.0,0.0,0.001,0.002,01131
66,2013,24342,0.514,0.963,0.006999999999999999,0.006,0.002,0.0,0.019,0.027000000000000003,01133
67,2013,3141,0.266,0.22899999999999998,0.122,0.214,0.371,0.01,0.03,0.135,02013
68,2013,5538,0.34500000000000003,0.33,0.065,0.141,0.314,0.023,0.069,0.107,02016
69,2013,295237,0.49100000000000005,0.662,0.059000000000000004,0.069,0.08199999999999999,0.021,0.091,0.08,02020
70,2013,17356,0.47700000000000004,0.115,0.006,0.8170000000000001,0.011000000000000001,0.003,0.049,0.013999999999999999,02050
71,2013,933,0.462,0.5579999999999999,0.001,0.308,0.004,0.001,0.115,0.055,02060
72,2013,2020,0.489,0.9009999999999999,0.006,0.042,0.035,0.0,0.016,0.026000000000000002,02068
73,2013,4923,0.47700000000000004,0.182,0.004,0.6950000000000001,0.009000000000000001,0.004,0.098,0.023,02070
74,2013,98656,0.47000000000000003,0.777,0.046,0.066,0.025,0.004,0.07200000000000001,0.066,02090
75,2013,2546,0.455,0.8079999999999999,0.004,0.08199999999999999,0.008,0.0,0.095,0.009000000000000001,02100
76,2013,2141,0.47200000000000003,0.48600000000000004,0.004,0.36700000000000005,0.013000000000000001,0.003,0.121,0.023,02105
77,2013,31897,0.48600000000000004,0.696,0.011000000000000001,0.11599999999999999,0.059000000000000004,0.009000000000000001,0.098,0.055999999999999994,02110
78,2013,56163,0.47500000000000003,0.846,0.006,0.078,0.013999999999999999,0.001,0.052000000000000005,0.033,02122
79,2013,13595,0.48,0.679,0.003,0.147,0.062000000000000006,0.0,0.10099999999999999,0.044000000000000004,02130
80,2013,13850,0.459,0.5529999999999999,0.006,0.151,0.19100000000000003,0.017,0.048,0.078,02150
81,2013,1454,0.517,0.23399999999999999,0.005,0.7000000000000001,0.008,0.001,0.052000000000000005,0.017,02164
82,2013,91519,0.48200000000000004,0.848,0.009000000000000001,0.049,0.013000000000000001,0.002,0.07400000000000001,0.04,02170
83,2013,9695,0.46399999999999997,0.172,0.009000000000000001,0.708,0.008,0.003,0.09699999999999999,0.015,02180
84,2013,9484,0.375,0.327,0.004,0.52,0.047,0.013999999999999999,0.073,0.03,02185
85,2013,7624,0.462,0.11800000000000001,0.006,0.8140000000000001,0.006,0.0,0.052000000000000005,0.011000000000000001,02188
86,2013,3806,0.479,0.718,0.016,0.133,0.008,0.003,0.092,0.054000000000000006,02195
87,2013,5672,0.452,0.498,0.002,0.4,0.008,0.004,0.085,0.027000000000000003,02198
88,2013,8945,0.49100000000000005,0.6559999999999999,0.008,0.179,0.054000000000000006,0.002,0.08900000000000001,0.053,02220
89,2013,1080,0.47100000000000003,0.7809999999999999,0.0,0.036000000000000004,0.136,0.0,0.044000000000000004,0.011000000000000001,02230
90,2013,7047,0.45,0.8059999999999999,0.016,0.095,0.021,0.005,0.049,0.04,02240
91,2013,9682,0.47100000000000003,0.731,0.004,0.162,0.037000000000000005,0.006999999999999999,0.05,0.039,02261
92,2013,7678,0.474,0.036000000000000004,0.002,0.905,0.005,0.003,0.049,0.002,02270
93,2013,2371,0.49,0.677,0.001,0.226,0.015,0.0,0.081,0.026000000000000002,02275
94,2013,607,0.42,0.354,0.064,0.414,0.013000000000000001,0.003,0.14300000000000002,0.018000000000000002,02282
95,2013,5656,0.46,0.223,0.001,0.7020000000000001,0.005,0.003,0.063,0.013999999999999999,02290
96,2013,71978,0.501,0.23800000000000002,0.004,0.7220000000000001,0.004,0.003,0.019,0.06,04001
97,2013,131038,0.489,0.798,0.038,0.012,0.017,0.003,0.053,0.329,04003
98,2013,134795,0.504,0.621,0.013999999999999999,0.271,0.013999999999999999,0.001,0.036000000000000004,0.13699999999999998,04005
99,2013,53335,0.503,0.7959999999999999,0.006,0.14800000000000002,0.004,0.0,0.022000000000000002,0.182,04007
100,2013,37168,0.46299999999999997,0.7640000000000001,0.02,0.14,0.005,0.002,0.021,0.309,04009
101,2013,8679,0.474,0.8740000000000001,0.009000000000000001,0.023,0.003,0.0,0.034,0.47500000000000003,04011
102,2013,20408,0.495,0.715,0.01,0.129,0.006999999999999999,0.002,0.013999999999999999,0.242,04012
103,2013,3889161,0.505,0.807,0.051,0.019,0.036000000000000004,0.002,0.028999999999999998,0.297,04013
104,2013,201680,0.49700000000000005,0.89,0.011000000000000001,0.017,0.01,0.002,0.039,0.151,04015
105,2013,107326,0.499,0.49100000000000005,0.004,0.429,0.005,0.002,0.035,0.109,04017
106,2013,986891,0.508,0.793,0.036000000000000004,0.032,0.027000000000000003,0.001,0.031000000000000003,0.35000000000000003,04019
107,2013,379128,0.47700000000000004,0.788,0.047,0.052000000000000005,0.016,0.005,0.028999999999999998,0.28800000000000003,04021
108,2013,47122,0.52,0.746,0.005,0.002,0.006999999999999999,0.001,0.019,0.8270000000000001,04023
109,2013,211968,0.511,0.919,0.006,0.021,0.008,0.0,0.022000000000000002,0.13699999999999998,04025
110,2013,199026,0.493,0.766,0.022000000000000002,0.013999999999999999,0.011000000000000001,0.002,0.025,0.601,04027
111,2013,18957,0.519,0.7240000000000001,0.25,0.001,0.006,0.001,0.013000000000000001,0.027999999999999997,05001
112,2013,21645,0.515,0.7040000000000001,0.255,0.002,0.001,0.0,0.013999999999999999,0.05,05003
113,2013,41281,0.519,0.968,0.004,0.005,0.006,0.0,0.011000000000000001,0.018000000000000002,05005
114,2013,227439,0.506,0.872,0.012,0.013999999999999999,0.031000000000000003,0.002,0.027000000000000003,0.157,05007
115,2013,37099,0.511,0.966,0.003,0.008,0.005,0.0,0.017,0.021,05009
