,total_pop,pct_female,pct_white,pct_black,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_hispanic,fips
0,54590,51.4,78.9,18.1,0.3,0.8,0.0,1.5,2.4,01001
1,183226,51.3,86.4,9.3,0.6,0.7,0.0,1.6,4.3,01003
2,27469,46.3,49.0,46.0,0.1,0.8,0.0,2.1,5.0,01005
3,22769,46.6,76.7,21.8,0.4,0.1,0.0,1.1,1.8,01007
4,57466,50.4,94.9,1.3,0.4,0.2,0.0,1.5,8.1,01009
5,10779,44.4,28.1,70.6,0.2,0.0,0.3,0.8,5.8,01011
6,20730,53.0,54.9,43.2,0.2,0.9,0.0,0.7,1.0,01013
7,117834,51.9,75.0,20.7,0.3,0.7,0.1,1.8,3.3,01015
8,34228,52.6,58.9,39.2,0.0,0.5,0.0,1.1,1.6,01017
9,25917,50.8,92.9,4.8,0.6,0.3,0.0,1.0,1.3,01019
10,43611,50.7,86.8,9.9,0.4,0.2,0.0,0.8,7.4,01021
11,13838,51.6,55.4,42.9,0.0,0.2,0.0,1.3,0.6,01023
12,25768,52.7,54.4,43.9,0.5,0.4,0.0,0.7,0.7,01025
13,13828,50.9,81.9,15.6,0.2,0.0,0.0,1.4,2.9,01027
14,14905,50.8,94.7,3.8,0.2,0.0,0.0,1.1,2.1,01029
15,49966,50.6,77.4,17.3,0.9,1.3,0.0,2.5,6.1,01031
16,54451,51.9,80.7,16.0,0.6,0.4,0.0,1.6,2.1,01033
17,13188,51.2,51.5,46.5,0.5,0.1,0.0,1.4,0.3,01035
18,11305,49.0,67.6,31.5,0.1,0.0,0.0,0.7,2.0,01037
19,37803,51.5,84.8,12.6,0.5,0.3,0.1,1.3,1.4,01039
20,13971,51.3,72.6,22.2,0.5,1.5,0.0,2.6,1.5,01041
21,80403,50.4,96.0,1.1,0.4,0.5,0.0,1.4,4.2,01043
22,50129,50.5,75.0,19.6,0.3,1.3,0.1,2.9,5.6,01045
23,43572,54.0,29.2,69.0,0.2,0.3,0.0,0.8,0.7,01047
24,70949,50.7,91.3,1.7,1.4,0.3,0.0,2.2,13.5,01049
25,79330,51.1,75.8,20.2,0.4,0.6,0.0,1.6,2.6,01051
26,38122,48.4,63.0,32.2,3.7,0.4,0.0,0.6,1.9,01053
27,104317,51.7,81.9,15.1,0.3,0.7,0.0,1.5,3.4,01055
28,17219,50.8,86.7,11.3,0.2,0.3,0.0,1.5,1.2,01057
29,31664,50.9,88.4,4.6,0.5,0.2,0.0,1.0,14.7,01059
30,26769,51.3,86.8,9.8,0.3,0.1,0.0,1.4,3.4,01061
31,9067,52.8,17.7,81.8,0.3,0.1,0.0,0.0,0.0,01063
32,15750,52.5,39.9,59.2,0.2,0.3,0.1,0.2,0.4,01065
33,17275,52.4,68.8,27.9,0.0,2.0,0.0,0.5,2.3,01067
34,101459,52.0,70.1,25.7,0.3,0.9,0.0,1.8,2.9,01069
35,53279,50.6,92.0,3.3,1.9,0.4,0.0,1.9,2.5,01071
36,658464,52.7,53.5,42.2,0.2,1.5,0.0,0.8,3.8,01073
37,14513,51.8,87.2,11.9,0.0,0.0,0.0,0.8,1.3,01075
38,92528,52.1,87.2,10.1,0.5,0.8,0.0,1.0,2.2,01077
39,34148,51.1,77.6,11.1,5.5,0.1,0.0,4.9,1.8,01079
40,140938,50.6,71.9,22.9,0.4,2.7,0.0,1.4,3.3,01081
41,83313,49.3,82.0,12.8,0.5,1.1,0.0,1.5,5.4,01083
42,11304,53.3,25.4,74.0,0.2,0.0,0.0,0.2,0.6,01085
43,21214,54.3,15.9,83.1,0.2,0.0,0.0,0.7,1.3,01087
44,334661,50.9,69.4,24.0,0.7,2.4,0.1,2.6,4.5,01089
45,20909,53.1,46.3,52.3,0.1,0.2,0.0,0.6,1.7,01091
46,30641,50.6,94.3,3.9,0.2,0.4,0.0,1.1,2.1,01093
47,93070,50.7,93.7,1.6,0.7,0.5,0.1,1.4,12.0,01095
48,412297,52.0,60.8,34.8,0.8,1.9,0.0,1.2,2.4,01097
49,22993,51.6,55.4,41.5,1.3,0.4,0.0,1.1,1.0,01099
50,229376,52.5,40.8,54.7,0.4,2.0,0.0,1.3,3.4,01101
51,119330,51.0,82.5,11.9,1.0,0.6,0.1,1.9,7.5,01103
52,10525,51.5,30.3,68.6,0.0,0.3,0.0,0.7,0.8,01105
53,19646,52.7,57.3,41.6,0.1,0.0,0.0,1.0,1.6,01107
54,32750,52.7,58.8,36.4,0.8,1.9,0.0,2.0,2.3,01109
55,22843,51.2,77.3,20.8,0.4,0.1,0.0,1.2,2.8,01111
56,53938,51.8,54.4,42.2,0.1,0.4,0.1,2.1,3.9,01113
57,83530,50.0,88.9,8.9,0.5,0.6,0.0,0.8,2.1,01115
58,195237,51.1,83.2,10.8,0.3,2.1,0.0,1.0,5.7,01117
59,13669,54.9,24.3,74.1,0.1,0.7,0.0,0.3,0.7,01119
60,82194,51.3,65.6,32.6,0.3,0.1,0.0,1.1,2.0,01121
61,41534,51.6,70.8,27.3,0.1,0.0,0.0,1.1,2.4,01123
62,194254,51.6,67.3,30.0,0.2,1.3,0.0,0.8,3.0,01125
63,67016,51.4,91.5,5.5,0.2,0.2,0.0,2.0,2.0,01127
64,17407,50.0,65.4,24.5,7.8,0.6,0.2,1.1,0.9,01129
65,11706,52.2,26.8,73.1,0.0,0.0,0.0,0.1,0.2,01131
66,24432,51.2,96.5,0.8,0.5,0.2,0.0,1.8,2.7,01133
67,3114,26.1,23.2,13.4,18.3,40.4,0.6,3.1,14.4,02013
68,5507,33.4,33.8,5.9,15.2,28.3,2.1,6.7,13.5,02016
69,291470,49.3,66.8,5.8,6.6,8.0,2.0,9.3,7.7,02020
70,17184,48.0,11.7,0.3,81.7,1.1,0.4,5.0,1.2,02050
71,929,46.6,54.6,0.2,31.0,0.3,0.5,13.1,5.3,02060
72,1917,48.4,87.5,1.0,3.9,3.1,0.0,4.3,2.2,02068
73,4887,47.9,18.2,0.4,69.2,0.8,0.4,9.9,2.1,02070
74,97523,47.1,77.9,4.6,6.6,2.5,0.4,6.9,6.0,02090
75,2500,44.1,82.1,0.3,7.3,1.0,0.0,9.2,1.3,02100
76,2153,48.0,48.4,0.2,35.6,1.2,0.4,13.3,2.8,02105
77,31636,49.0,69.8,0.7,11.3,5.5,0.8,10.9,5.3,02110
78,55474,47.7,84.8,0.6,8.0,1.4,0.1,4.6,3.1,02122
79,13525,48.0,67.7,0.4,13.5,6.0,0.1,11.2,4.1,02130
80,13710,46.1,56.9,0.8,15.5,19.9,0.8,4.1,7.6,02150
81,1551,51.6,27.8,0.5,63.6,1.8,0.3,6.0,1.2,02164
82,89319,48.3,85.2,1.0,4.8,1.3,0.2,7.0,3.8,02170
83,9580,46.3,16.7,1.3,71.9,0.9,0.3,8.8,1.3,02180
