,year,total_pop,pct_female,pct_white,pct_black,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_hispanic,fips
0,2016,55049,0.512,0.7690000000000001,0.185,0.004,0.008,0.001,0.02,0.026000000000000002,01001
1,2016,199510,0.512,0.8640000000000001,0.09300000000000001,0.006999999999999999,0.006999999999999999,0.0,0.02,0.044000000000000004,01003
2,2016,26614,0.465,0.467,0.479,0.002,0.005,0.0,0.006,0.043,01005
3,2016,22572,0.465,0.77,0.212,0.004,0.001,0.0,0.013999999999999999,0.022000000000000002,01007
4,2016,57704,0.505,0.9540000000000001,0.016,0.003,0.002,0.0,0.016,0.087,01009
5,2016,10552,0.45799999999999996,0.218,0.755,0.008,0.008,0.0,0.011000000000000001,0.001,01011
6,2016,20280,0.53,0.536,0.438,0.001,0.01,0.0,0.013000000000000001,0.012,01013
7,2016,115883,0.519,0.7490000000000001,0.20500000000000002,0.003,0.009000000000000001,0.0,0.023,0.034,01015
8,2016,34018,0.521,0.5710000000000001,0.405,0.002,0.009000000000000001,0.0,0.011000000000000001,0.004,01017
9,2016,25897,0.503,0.9329999999999999,0.047,0.006,0.004,0.0,0.01,0.016,01019
10,2016,43817,0.508,0.838,0.10099999999999999,0.003,0.004,0.0,0.01,0.076,01021
11,2016,13287,0.522,0.564,0.42600000000000005,0.0,0.0,0.0,0.009000000000000001,0.006,01023
12,2016,24847,0.528,0.533,0.455,0.0,0.005,0.001,0.005,0.002,01025
13,2016,13483,0.516,0.8290000000000001,0.14800000000000002,0.009000000000000001,0.0,0.0,0.009000000000000001,0.031000000000000003,01027
14,2016,14991,0.505,0.946,0.024,0.001,0.006,0.0,0.02,0.023,01029
15,2016,50991,0.506,0.7640000000000001,0.172,0.008,0.012,0.0,0.033,0.066,01031
16,2016,54377,0.517,0.798,0.157,0.006,0.005,0.001,0.023,0.024,01033
17,2016,12697,0.525,0.519,0.46299999999999997,0.001,0.001,0.0,0.015,0.018000000000000002,01035
18,2016,10864,0.507,0.663,0.324,0.001,0.0,0.0,0.013000000000000001,0.013000000000000001,01037
19,2016,37729,0.517,0.845,0.131,0.003,0.005,0.001,0.011000000000000001,0.015,01039
20,2016,13896,0.506,0.715,0.23800000000000002,0.009000000000000001,0.017,0.0,0.008,0.017,01041
21,2016,81316,0.506,0.9590000000000001,0.011000000000000001,0.005,0.006,0.0,0.011000000000000001,0.042,01043
22,2016,49607,0.507,0.7440000000000001,0.197,0.006,0.01,0.0,0.03,0.059000000000000004,01045
23,2016,41426,0.538,0.287,0.6950000000000001,0.002,0.004,0.001,0.009000000000000001,0.01,01047
