,total_pop,pct_female,pct_white,pct_black,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_hispanic,fips
0,53155,51.5,79.1,17.9,0.3,0.7,0.0,1.5,2.3,01001
1,175791,51.1,86.2,9.5,0.6,0.7,0.0,1.4,3.9,01003
2,27699,47.1,49.7,46.6,0.3,0.2,0.0,1.3,4.6,01005
3,22610,46.2,84.2,15.3,0.2,0.2,0.0,0.2,0.6,01007
4,56692,50.5,95.1,1.3,0.4,0.4,0.0,1.1,7.5,01009
5,10923,46.5,23.7,74.2,0.2,0.4,0.6,0.8,1.6,01011
6,20895,53.1,55.0,42.9,0.1,0.8,0.0,1.1,0.3,01013
7,117149,51.9,75.5,20.4,0.4,0.7,0.1,1.3,3.0,01015
8,34579,52.5,59.1,39.1,0.0,0.4,0.0,1.2,1.5,01017
9,25700,50.2,92.8,4.7,0.8,0.3,0.1,0.9,1.2,01019
10,43121,50.6,87.5,9.4,0.6,0.2,0.0,1.4,6.5,01021
11,14111,51.4,55.4,43.0,0.0,0.3,0.0,1.2,0.4,01023
12,26255,52.9,55.0,41.9,1.8,0.4,0.0,0.7,0.9,01025
13,14040,51.0,82.4,15.4,0.4,0.0,0.0,1.4,2.6,01027
14,14823,50.1,94.3,4.1,0.2,0.0,0.0,1.2,1.4,01029
15,48349,50.9,77.5,17.3,0.9,1.1,0.1,2.5,5.6,01031
16,54446,51.9,81.4,16.1,0.6,0.5,0.0,1.1,2.0,01033
17,13382,49.1,52.1,46.2,0.9,0.0,0.0,0.7,0.3,01035
18,11470,50.6,65.5,33.8,0.0,0.0,0.0,0.6,0.1,01037
19,37608,51.5,84.8,12.9,0.2,0.5,0.1,0.6,1.3,01039
20,13928,51.6,73.2,20.8,0.8,3.8,0.0,1.3,1.3,01041
21,79941,50.3,96.1,0.9,0.7,0.4,0.0,1.3,4.0,01043
22,49730,50.7,75.0,19.9,0.2,1.3,0.1,2.7,5.2,01045
23,44066,53.9,30.0,68.8,0.1,0.4,0.0,0.3,0.7,01047
24,70038,50.6,92.5,1.6,1.6,0.3,0.0,1.8,12.2,01049
25,77650,50.7,76.0,20.1,0.4,0.6,0.0,1.3,2.5,01051
26,37996,48.9,63.3,31.4,3.6,0.4,0.0,0.9,1.9,01053
27,104066,51.7,82.1,15.0,0.4,0.6,0.0,1.4,3.1,01055
28,17472,51.2,86.6,11.2,0.2,0.2,0.0,1.9,1.1,01057
29,31383,50.4,87.3,4.2,0.9,0.2,0.4,1.1,13.2,01059
30,26541,51.4,87.2,10.2,0.2,0.1,0.0,1.7,3.2,01061
31,9255,52.1,18.0,80.4,0.3,0.1,0.0,0.1,1.0,01063
32,16168,52.2,39.9,59.2,0.3,0.2,0.0,0.4,0.4,01065
33,17148,52.2,68.1,29.3,0.0,1.9,0.0,0.1,1.9,01067
34,99029,52.0,70.5,25.4,0.5,0.8,0.0,1.5,2.6,01069
35,53386,50.9,92.1,3.3,1.2,0.2,0.0,2.8,2.3,01071
36,656912,52.7,54.5,41.8,0.2,1.4,0.0,0.8,3.4,01073
37,14743,52.0,87.0,12.2,0.2,0.0,0.0,0.5,1.2,01075
38,91762,52.2,87.3,10.2,0.4,0.7,0.0,0.9,2.0,01077
39,34235,51.0,78.1,11.2,5.2,0.2,0.0,4.7,1.7,01079
40,135010,50.6,72.7,22.8,0.4,2.5,0.1,1.1,3.0,01081
41,78614,49.3,82.9,12.8,0.6,1.0,0.0,1.3,5.0,01083
42,11731,53.4,25.7,73.0,0.3,0.0,0.0,0.6,0.9,01085
43,21699,54.3,15.1,83.1,0.2,0.0,0.0,1.5,0.6,01087
44,323080,50.9,69.9,23.5,0.6,2.4,0.1,2.6,4.0,01089
45,21296,52.7,45.8,53.1,0.2,0.0,0.0,0.7,0.3,01091
46,30792,50.5,93.7,2.9,0.2,0.8,0.0,1.4,1.9,01093
47,90867,50.8,93.9,1.6,0.8,0.5,0.1,1.4,10.9,01095
48,408620,52.0,61.3,34.5,0.7,1.8,0.0,1.2,2.2,01097
49,23329,51.7,55.6,40.6,1.3,0.4,0.0,1.6,1.1,01099
50,228018,52.4,42.0,53.8,0.3,1.9,0.0,1.1,3.1,01101
51,117632,51.0,82.6,11.8,0.9,0.6,0.0,1.6,6.8,01103
52,10684,54.1,29.7,69.0,0.2,0.0,0.0,1.1,1.2,01105
53,19917,52.6,56.9,42.2,0.1,0.0,0.0,0.7,1.1,01107
54,32147,52.7,59.0,36.3,0.8,1.9,0.0,1.5,2.2,01109
55,22817,50.7,77.2,21.0,0.3,0.0,0.0,1.2,2.5,01111
56,51663,52.3,54.4,41.6,0.2,0.4,0.0,2.6,3.4,01113
57,80658,50.0,89.3,8.6,0.4,0.5,0.0,1.0,2.0,01115
58,187880,51.0,84.5,10.3,0.3,1.9,0.0,1.0,5.2,01117
59,13871,54.4,24.4,73.5,0.0,0.0,0.0,0.7,0.7,01119
60,82347,51.3,65.7,31.9,0.3,0.4,0.0,0.9,1.9,01121
61,41534,51.7,71.2,26.7,0.1,0.1,0.0,1.4,2.1,01123
62,188331,51.6,67.3,29.7,0.3,1.0,0.0,0.9,2.8,01125
63,67612,51.4,91.9,6.0,0.3,0.2,0.0,1.4,1.8,01127
64,17556,49.2,65.3,25.4,7.8,0.3,0.3,0.7,0.8,01129
65,12012,52.9,26.9,73.0,0.0,0.0,0.0,0.2,0.3,01131
