year,fips,covid_cases
2021,5019,3622
2022,5019,5587
2020,5021,1306
2021,5021,2963
2022,5021,4275
2020,5023,1208
2021,5023,4261
2022,5023,6629
2020,5025,555
2021,5025,1513
2022,5025,2337
2020,5027,1552
2021,5027,3547
2022,5027,5578
2020,5029,1289
2021,5029,3493
2022,5029,5629
2020,5031,9960
2021,5031,25109
2022,5031,39080
2020,5033,4402
2021,5033,11500
2022,5033,16301
2020,5035,4293
2021,5035,9690
2022,5035,14829
2020,5037,1377
2021,5037,3156
2022,5037,5000
2020,5039,476
2021,5039,1179
2022,5039,1825
2020,5041,943
2021,5041,2024
2022,5041,3131
2020,5043,1423
2021,5043,3057
2022,5043,4768
2020,5045,7516
2021,5045,22050
2022,5045,36646
2020,5047,1079
2021,5047,2899
2022,5047,3897
2020,5049,864
2021,5049,2027
2022,5049,2760
2020,5051,5739
2021,5051,16720
2022,5051,23975
2020,5053,1056
2021,5053,3047
2022,5053,4582
2020,5055,4398
2021,5055,11086
2022,5055,16568
2020,5057,1215
2021,5057,3205
2022,5057,4749
2020,5059,3615
2021,5059,8096
2022,5059,11489
2020,5061,1097
2021,5061,2688
2022,5061,3838
2020,5063,2724
2021,5063,7334
2022,5063,10867
2020,5065,1271
2021,5065,2901
2022,5065,4035
2020,5067,2816
2021,5067,4741
2022,5067,6271
2020,5069,6648
2021,5069,12938
2022,5069,19253
2020,5071,1817
2021,5071,4879
2022,5071,6975
2020,5073,341
2021,5073,893
2022,5073,1317
2020,5075,1568
2021,5075,3687
2022,5075,5487
2020,5077,1425
2021,5077,2283
2022,5077,2980
2020,5079,2810
2021,5079,3890
2022,5079,4989
2020,5081,806
2021,5081,2183
2022,5081,3336
2020,5083,1408
2021,5083,3864
2022,5083,5215
2020,5085,4093
2021,5085,13266
2022,5085,20616
2020,5087,1014
2021,5087,2891
2022,5087,4126
2020,5089,620
2021,5089,2551
2022,5089,3528
2020,5091,2733
2021,5091,6915
2022,5091,9833
2020,5093,4365
2021,5093,9332
2022,5093,13960
2020,5095,467
2021,5095,1250
2022,5095,1982
2020,5097,489
2021,5097,1189
2022,5097,1557
2020,5099,590
2021,5099,1489
2022,5099,2247
2020,5101,551
2021,5101,1345
2022,5101,1758
2020,5103,1345
2021,5103,3773
2022,5103,5703
2020,5105,428
2021,5105,1686
2022,5105,2592
2020,5107,1256
2021,5107,3450
2022,5107,4975
2020,5109,680
2021,5109,1835
2022,5109,2664
2020,5111,2386
2021,5111,5572
2022,5111,8303
2020,5113,1243
2021,5113,3083
2022,5113,4204
2020,5115,5403
2021,5115,12871
2022,5115,18729
2020,5117,532
2021,5117,1350
2022,5117,2006
2020,5119,24290
2021,5119,64984
2022,5119,109110
2020,5121,1440
2021,5121,3719
2022,5121,5372
2020,5123,2714
2021,5123,5148
2022,5123,7464
2020,5125,7494
2021,5125,20220
2022,5125,32009
2020,5127,573
2021,5127,1834
2022,5127,2357
2020,5129,500
2021,5129,1432
2022,5129,2191
2020,5131,9403
2021,5131,24304
2022,5131,33861
2020,5133,2063
2021,5133,4229
2022,5133,6123
2020,5135,1122
2021,5135,3354
2022,5135,4856
2020,5137,761
2021,5137,2041
2022,5137,3055
2020,5139,2384
2021,5139,6493
2022,5139,9520
2020,5141,739
2021,5141,2483
2022,5141,3610
2020,5143,21108
2021,5143,47756
2022,5143,70935
2020,5145,4641
2021,5145,14665
2022,5145,22931
2020,5147,340
2021,5147,1189
2022,5147,1784
2020,5149,2363
2021,5149,4962
2022,5149,6920
2020,6001,54498
2021,6001,133477
2022,6001,305277
2020,6003,70
2021,6003,113
2022,6003,129
2020,6005,2642
2021,6005,5911
2022,6005,9204
2020,6007,7934
2021,6007,22469
2022,6007,35651
2020,6009,1176
2021,6009,4646
2022,6009,7798
2020,6011,1346
2021,6011,2658
2022,6011,3546
2020,6013,42368
2021,6013,109592
2022,6013,219919
2020,6015,762
2021,6015,3842
2022,6015,6484
2020,6017,6476
2021,6017,17620
2022,6017,29549
2020,6019,70255
2021,6019,149925
2022,6019,246738
2020,6021,1616
2021,6021,3663
2022,6021,5192
2020,6023,1847
2021,6023,10379
2022,6023,19408
2020,6025,23353
2021,6025,37456
2022,6025,58497
2020,6027,706
2021,6027,2726
2022,6027,4243
2020,6029,68187
2021,6029,136115
2022,6029,201525
2020,6031,16671
2021,6031,34316
2022,6031,54029
2020,6033,1993
2021,6033,7049
2022,6033,11548
2020,6035,4553
2021,6035,7089
2022,6035,9310
2020,6037,808206
2021,6037,1576246
2022,6037,2955235
2020,6039,11097
2021,6039,25001
2022,6039,39552
2020,6041,9961
