,fips,year,employed_persons,unemployment_rate,total_pop,poverty_rate,per_capita_income_2007,per_capita_income_2006,per_capita_income_2005,per_capita_income_2008,per_capita_income_2003,per_capita_income_2004,per_capita_income_2009,per_capita_income_2002
102,4003,2000,46466.0,4.5,118132.0,,,,,,,,,
103,4005,2000,59889.0,4.4,116773.0,,,,,,,,,
104,4007,2000,19269.0,5.3,51332.0,,,,,,,,,
105,4009,2000,11605.0,5.5,33511.0,,,,,,,,,
106,4011,2000,3756.0,4.2,8547.0,,,,,,,,,
107,4012,2000,7141.0,6.4,19611.0,,,,,,,,,
108,4013,2000,1546575.0,3.2,3092197.0,,,,,,,,,
109,4015,2000,65752.0,4.5,156215.0,,,,,,,,,
110,4017,2000,31794.0,7.3,97689.0,,,,,,,,,
111,4019,2000,394670.0,3.7,848019.0,,,,,,,,,
112,4021,2000,66458.0,4.6,181280.0,,,,,,,,,
113,4023,2000,13539.0,8.2,38589.0,,,,,,,,,
114,4025,2000,72773.0,4.0,168608.0,,,,,,,,,
115,4027,2000,53819.0,16.4,160576.0,,,,,,,,,
116,5001,2000,9704.0,4.5,20776.0,,,,,,,,,
117,5003,2000,9895.0,5.8,24179.0,,,,,,,,,
118,5005,2000,15626.0,4.1,38446.0,,,,,,,,,
119,5007,2000,74795.0,2.8,154744.0,,,,,,,,,
120,5009,2000,15577.0,4.1,34051.0,,,,,,,,,
121,5011,2000,4777.0,6.4,12597.0,,,,,,,,,
122,5013,2000,2419.0,5.4,5709.0,,,,,,,,,
123,5015,2000,12533.0,3.9,25369.0,,,,,,,,,
124,5017,2000,5041.0,7.2,14062.0,,,,,,,,,
125,5019,2000,10753.0,4.2,23474.0,,,,,,,,,
126,5021,2000,7645.0,5.3,17537.0,,,,,,,,,
127,5023,2000,10258.0,4.5,24100.0,,,,,,,,,
128,5025,2000,3712.0,4.9,8536.0,,,,,,,,,
129,5027,2000,10708.0,5.1,25599.0,,,,,,,,,
130,5029,2000,8786.0,6.0,20312.0,,,,,,,,,
131,5031,2000,41119.0,3.9,82519.0,,,,,,,,,
132,5033,2000,23910.0,3.5,53404.0,,,,,,,,,
133,5035,2000,21071.0,4.1,50915.0,,,,,,,,,
134,5037,2000,8283.0,4.6,19458.0,,,,,,,,,
135,5039,2000,3653.0,5.5,9146.0,,,,,,,,,
136,5041,2000,5810.0,8.0,15302.0,,,,,,,,,
137,5043,2000,8233.0,5.9,18670.0,,,,,,,,,
138,5045,2000,43862.0,3.6,86501.0,,,,,,,,,
139,5047,2000,7807.0,3.3,17737.0,,,,,,,,,
140,5049,2000,4780.0,3.8,11656.0,,,,,,,,,
141,5051,2000,36850.0,4.2,88311.0,,,,,,,,,
142,5053,2000,7781.0,3.9,16476.0,,,,,,,,,
143,5055,2000,17284.0,4.7,37563.0,,,,,,,,,
144,5057,2000,10580.0,4.5,23620.0,,,,,,,,,
145,5059,2000,13699.0,4.2,30480.0,,,,,,,,,
146,5061,2000,6357.0,4.2,14233.0,,,,,,,,,
147,5063,2000,15922.0,4.8,34333.0,,,,,,,,,
148,5065,2000,4984.0,4.6,13298.0,,,,,,,,,
149,5067,2000,7130.0,7.4,18403.0,,,,,,,,,
150,5069,2000,33898.0,5.7,84171.0,,,,,,,,,
151,5071,2000,9781.0,4.1,22813.0,,,,,,,,,
152,5073,2000,3253.0,5.8,8539.0,,,,,,,,,
153,5075,2000,7457.0,5.2,17672.0,,,,,,,,,
154,5077,2000,3610.0,7.4,12527.0,,,,,,,,,
155,5079,2000,4735.0,6.1,14477.0,,,,,,,,,
156,5081,2000,6105.0,4.5,13613.0,,,,,,,,,
157,5083,2000,9472.0,4.1,22500.0,,,,,,,,,
158,5085,2000,25578.0,3.3,53153.0,,,,,,,,,
159,5087,2000,6712.0,3.1,14272.0,,,,,,,,,
160,5089,2000,6405.0,3.8,16162.0,,,,,,,,,
