,poverty_rate,per_capita_income_2006,fips,year
172,18.0,31732.0,5117.0,2006
173,14.2,43338.0,5119.0,2006
174,19.6,28497.0,5121.0,2006
175,29.8,30125.0,5123.0,2006
176,10.6,48287.0,5125.0,2006
177,20.6,30543.0,5127.0,2006
178,26.7,24142.0,5129.0,2006
179,15.2,37862.0,5131.0,2006
180,20.5,31363.0,5133.0,2006
181,19.7,29436.0,5135.0,2006
182,21.6,25687.0,5137.0,2006
183,20.5,34152.0,5139.0,2006
184,18.6,29766.0,5141.0,2006
185,15.1,41505.0,5143.0,2006
186,15.6,36864.0,5145.0,2006
187,28.1,24147.0,5147.0,2006
188,17.1,32302.0,5149.0,2006
190,11.1,64285.0,6001.0,2006
191,16.4,47515.0,6003.0,2006
192,9.0,50528.0,6005.0,2006
193,16.7,40023.0,6007.0,2006
194,10.8,52745.0,6009.0,2006
195,13.7,40240.0,6011.0,2006
196,7.9,74058.0,6013.0,2006
197,21.8,33765.0,6015.0,2006
198,7.6,67605.0,6017.0,2006
199,20.8,42433.0,6019.0,2006
200,17.8,38093.0,6021.0,2006
201,18.0,38796.0,6023.0,2006
202,19.4,36275.0,6025.0,2006
203,11.5,41366.0,6027.0,2006
204,20.5,42709.0,6029.0,2006
205,21.3,42070.0,6031.0,2006
206,17.1,36174.0,6033.0,2006
207,15.6,45668.0,6035.0,2006
208,15.4,51279.0,6037.0,2006
209,21.1,39919.0,6039.0,2006
210,8.3,81305.0,6041.0,2006
211,13.4,40930.0,6043.0,2006
212,16.8,39847.0,6045.0,2006
213,20.7,40447.0,6047.0,2006
214,18.7,31610.0,6049.0,2006
215,9.7,51135.0,6051.0,2006
216,11.6,54273.0,6053.0,2006
217,10.3,63586.0,6055.0,2006
218,7.9,52141.0,6057.0,2006
219,9.8,70109.0,6059.0,2006
220,5.7,69982.0,6061.0,2006
221,10.8,46527.0,6063.0,2006
222,12.2,53269.0,6065.0,2006
223,12.1,53689.0,6067.0,2006
224,9.6,66941.0,6069.0,2006
225,13.8,52686.0,6071.0,2006
226,11.7,59279.0,6073.0,2006
227,12.1,64648.0,6075.0,2006
228,14.4,51691.0,6077.0,2006
229,13.1,50202.0,6079.0,2006
230,7.2,77717.0,6081.0,2006
231,15.8,53382.0,6083.0,2006
232,9.0,80775.0,6085.0,2006
233,11.9,60863.0,6087.0,2006
234,16.7,42813.0,6089.0,2006
235,11.4,43405.0,6091.0,2006
236,17.6,34329.0,6093.0,2006
237,10.4,61529.0,6095.0,2006
238,9.6,60656.0,6097.0,2006
239,14.4,48252.0,6099.0,2006
240,13.3,47174.0,6101.0,2006
241,17.6,35639.0,6103.0,2006
242,16.6,33070.0,6105.0,2006
243,21.6,41117.0,6107.0,2006
244,11.4,44991.0,6109.0,2006
245,9.0,71807.0,6111.0,2006
246,16.9,50027.0,6113.0,2006
247,19.0,37558.0,6115.0,2006
249,12.5,50930.0,8001.0,2006
250,22.8,33726.0,8003.0,2006
251,10.3,55804.0,8005.0,2006
252,10.5,46904.0,8007.0,2006
253,17.8,29443.0,8009.0,2006
254,24.3,30475.0,8011.0,2006
255,11.1,62322.0,8013.0,2006
256,5.8,71714.0,8014.0,2006
257,13.1,39263.0,8015.0,2006
258,13.4,37794.0,8017.0,2006
259,7.3,61744.0,8019.0,2006
260,24.0,28591.0,8021.0,2006
261,29.5,23000.0,8023.0,2006
262,35.6,28375.0,8025.0,2006
263,13.0,41811.0,8027.0,2006
264,13.7,37343.0,8029.0,2006
265,19.7,41357.0,8031.0,2006
266,13.9,35877.0,8033.0,2006
267,2.5,93273.0,8035.0,2006
268,7.3,65923.0,8037.0,2006
269,5.3,75374.0,8039.0,2006
270,9.3,53234.0,8041.0,2006
271,16.9,37831.0,8043.0,2006
272,7.6,59503.0,8045.0,2006
273,5.6,60235.0,8047.0,2006
274,7.8,54619.0,8049.0,2006
275,13.7,41434.0,8051.0,2006
276,9.1,42406.0,8053.0,2006
277,25.5,28778.0,8055.0,2006
278,16.1,36073.0,8057.0,2006
279,7.0,60784.0,8059.0,2006
280,13.2,33032.0,8061.0,2006
281,13.7,38751.0,8063.0,2006
282,13.9,40443.0,8065.0,2006
283,11.5,50561.0,8067.0,2006
284,12.1,54241.0,8069.0,2006
285,16.4,35008.0,8071.0,2006
286,17.9,35524.0,8073.0,2006
287,12.7,37885.0,8075.0,2006
288,12.4,42791.0,8077.0,2006
289,10.0,42228.0,8079.0,2006
290,10.1,50285.0,8081.0,2006
291,18.0,37389.0,8083.0,2006
292,12.5,42016.0,8085.0,2006
293,13.8,40266.0,8087.0,2006
294,19.4,33310.0,8089.0,2006
295,8.0,51747.0,8091.0,2006
296,7.6,60208.0,8093.0,2006
297,11.2,36380.0,8095.0,2006
298,5.6,67950.0,8097.0,2006
299,20.4,32003.0,8099.0,2006
300,17.0,36999.0,8101.0,2006
301,9.8,47150.0,8103.0,2006
302,16.6,35842.0,8105.0,2006
303,6.5,61128.0,8107.0,2006
304,26.4,28213.0,8109.0,2006
305,16.9,34987.0,8111.0,2006
306,9.4,54850.0,8113.0,2006
307,12.8,30763.0,8115.0,2006
308,7.1,60332.0,8117.0,2006
309,8.1,57686.0,8119.0,2006
310,13.0,34115.0,8121.0,2006
311,14.3,52037.0,8123.0,2006
312,13.5,38067.0,8125.0,2006
314,6.8,76378.0,9001.0,2006
315,9.8,58608.0,9003.0,2006
316,6.0,66113.0,9005.0,2006
317,6.5,68764.0,9007.0,2006
318,9.9,56755.0,9009.0,2006
319,6.7,59398.0,9011.0,2006
320,5.9,69458.0,9013.0,2006
321,9.3,53802.0,9015.0,2006
323,12.7,47635.0,10001.0,2006
324,9.9,58184.0,10003.0,2006
325,11.3,45798.0,10005.0,2006
327,18.1,51746.0,11001.0,2006
329,21.8,37046.0,12001.0,2006
330,14.7,44860.0,12003.0,2006
331,13.8,44058.0,12005.0,2006
332,16.3,38060.0,12007.0,2006
333,10.0,46415.0,12009.0,2006
334,11.2,50399.0,12011.0,2006
335,20.4,31397.0,12013.0,2006
336,8.5,43746.0,12015.0,2006
337,11.8,35563.0,12017.0,2006
338,6.8,59994.0,12019.0,2006
339,9.8,56135.0,12021.0,2006
340,18.2,37724.0,12023.0,2006
341,30.3,32754.0,12027.0,2006
342,22.6,28847.0,12029.0,2006
343,13.7,45770.0,12031.0,2006
344,15.9,41923.0,12033.0,2006
345,8.2,46685.0,12035.0,2006
346,18.5,33000.0,12037.0,2006
347,19.7,35136.0,12039.0,2006
348,17.6,36483.0,12041.0,2006
349,15.8,36040.0,12043.0,2006
350,19.2,36278.0,12045.0,2006
351,24.3,30399.0,12047.0,2006
352,22.0,33034.0,12049.0,2006
353,22.7,35235.0,12051.0,2006
354,12.0,39840.0,12053.0,2006
355,14.4,33242.0,12055.0,2006
356,12.8,46751.0,12057.0,2006
357,20.9,30794.0,12059.0,2006
358,10.5,45034.0,12061.0,2006
359,19.1,32879.0,12063.0,2006
360,18.1,39018.0,12065.0,2006
361,22.3,33234.0,12067.0,2006
362,10.2,42194.0,12069.0,2006
363,9.2,48674.0,12071.0,2006
364,18.7,41958.0,12073.0,2006
365,17.8,31966.0,12075.0,2006
366,19.4,33987.0,12077.0,2006
367,20.9,32113.0,12079.0,2006
368,11.4,45401.0,12081.0,2006
369,12.2,39550.0,12083.0,2006
370,8.7,51113.0,12085.0,2006
371,16.4,41178.0,12086.0,2006
372,11.5,50598.0,12087.0,2006
373,9.4,55496.0,12089.0,2006
374,9.6,52615.0,12091.0,2006
375,16.0,36866.0,12093.0,2006
376,11.9,48776.0,12095.0,2006
377,12.1,44277.0,12097.0,2006
378,10.6,51658.0,12099.0,2006
379,10.2,41700.0,12101.0,2006
380,12.3,41960.0,12103.0,2006
381,13.4,41176.0,12105.0,2006
382,22.1,31755.0,12107.0,2006
383,7.6,58306.0,12109.0,2006
384,12.6,44466.0,12111.0,2006
385,10.8,52453.0,12113.0,2006
386,9.0,48626.0,12115.0,2006
387,9.6,56655.0,12117.0,2006
388,13.1,42459.0,12119.0,2006
389,18.1,32847.0,12121.0,2006
390,20.6,34900.0,12123.0,2006
391,19.4,37740.0,12125.0,2006
392,12.9,40857.0,12127.0,2006
393,12.2,47672.0,12129.0,2006
394,13.3,42115.0,12131.0,2006
395,19.3,32982.0,12133.0,2006
397,18.8,34673.0,13001.0,2006
398,22.7,28853.0,13003.0,2006
399,20.1,30872.0,13005.0,2006
400,27.0,29889.0,13007.0,2006
401,22.1,36486.0,13009.0,2006
402,14.6,41553.0,13011.0,2006
403,11.2,49356.0,13013.0,2006
404,12.0,46720.0,13015.0,2006
405,27.1,28341.0,13017.0,2006
406,20.1,32915.0,13019.0,2006
407,21.1,36750.0,13021.0,2006
408,17.2,36909.0,13023.0,2006
409,19.7,36060.0,13025.0,2006
410,25.9,29434.0,13027.0,2006
411,10.5,60620.0,13029.0,2006
412,22.5,34153.0,13031.0,2006
413,23.4,30774.0,13033.0,2006
414,13.5,45817.0,13035.0,2006
415,32.4,26402.0,13037.0,2006
416,11.8,46754.0,13039.0,2006
417,25.3,29226.0,13043.0,2006
418,14.5,44025.0,13045.0,2006
419,10.4,45094.0,13047.0,2006
420,24.0,32488.0,13049.0,2006
421,17.6,40472.0,13051.0,2006
422,18.8,38906.0,13053.0,2006
423,18.5,33939.0,13055.0,2006
424,7.1,65555.0,13057.0,2006
425,32.2,31167.0,13059.0,2006
426,30.0,24726.0,13061.0,2006
427,14.6,42079.0,13063.0,2006
428,24.2,30143.0,13065.0,2006
429,9.8,61574.0,13067.0,2006
430,21.0,33705.0,13069.0,2006
431,25.3,29198.0,13071.0,2006
432,6.2,63457.0,13073.0,2006
433,22.2,29924.0,13075.0,2006
434,11.1,61939.0,13077.0,2006
435,16.7,41556.0,13079.0,2006
436,33.4,28294.0,13081.0,2006
437,13.3,40031.0,13083.0,2006
438,9.5,54705.0,13085.0,2006
439,25.1,30840.0,13087.0,2006
440,14.6,50427.0,13089.0,2006
441,20.3,30563.0,13091.0,2006
442,25.3,29781.0,13093.0,2006
443,27.9,31808.0,13095.0,2006
444,11.2,55332.0,13097.0,2006
445,25.6,28365.0,13099.0,2006
446,25.0,30393.0,13101.0,2006
447,9.7,53634.0,13103.0,2006
448,22.8,28130.0,13105.0,2006
449,26.2,27349.0,13107.0,2006
450,23.8,29894.0,13109.0,2006
451,14.6,35271.0,13111.0,2006
452,4.5,80537.0,13113.0,2006
453,17.1,39095.0,13115.0,2006
454,5.2,83491.0,13117.0,2006
455,15.5,35472.0,13119.0,2006
456,15.7,54452.0,13121.0,2006
457,16.8,38356.0,13123.0,2006
458,16.8,34177.0,13125.0,2006
459,17.1,47551.0,13127.0,2006
460,12.5,41326.0,13129.0,2006
461,22.2,32212.0,13131.0,2006
462,21.5,37890.0,13133.0,2006
463,9.0,63251.0,13135.0,2006
464,12.6,41402.0,13137.0,2006
465,13.4,46813.0,13139.0,2006
466,31.6,25521.0,13141.0,2006
467,16.8,36820.0,13143.0,2006
468,9.4,56454.0,13145.0,2006
469,21.5,36834.0,13147.0,2006
470,16.4,36298.0,13149.0,2006
471,8.1,61268.0,13151.0,2006
472,13.0,49154.0,13153.0,2006
473,20.4,31576.0,13155.0,2006
474,15.2,41290.0,13157.0,2006
475,15.4,42330.0,13159.0,2006
476,21.5,29341.0,13161.0,2006
477,21.9,28692.0,13163.0,2006
478,25.5,27140.0,13165.0,2006
479,27.5,26514.0,13167.0,2006
480,11.8,45598.0,13169.0,2006
481,17.2,38828.0,13171.0,2006
482,23.0,32193.0,13173.0,2006
483,24.8,36216.0,13175.0,2006
484,8.9,58127.0,13177.0,2006
485,16.8,37788.0,13179.0,2006
486,20.5,34454.0,13181.0,2006
487,20.4,34208.0,13183.0,2006
488,21.6,36225.0,13185.0,2006
489,13.1,44164.0,13187.0,2006
490,21.5,35099.0,13189.0,2006
491,19.5,34017.0,13191.0,2006
492,29.7,25975.0,13193.0,2006
493,15.5,40547.0,13195.0,2006
494,23.6,33286.0,13197.0,2006
495,19.6,37922.0,13199.0,2006
496,22.1,33328.0,13201.0,2006
497,25.3,28898.0,13205.0,2006
498,11.9,46375.0,13207.0,2006
499,20.4,33308.0,13209.0,2006
500,12.3,45034.0,13211.0,2006
501,13.8,41283.0,13213.0,2006
502,17.3,40406.0,13215.0,2006
503,11.8,49879.0,13217.0,2006
504,6.9,66586.0,13219.0,2006
505,14.5,40491.0,13221.0,2006
506,7.4,60993.0,13223.0,2006
507,22.1,37647.0,13225.0,2006
508,11.4,47987.0,13227.0,2006
509,18.7,34524.0,13229.0,2006
510,9.9,50756.0,13231.0,2006
511,15.5,37045.0,13233.0,2006
512,19.6,34285.0,13235.0,2006
513,15.1,40866.0,13237.0,2006
514,23.8,27332.0,13239.0,2006
515,13.8,38863.0,13241.0,2006
516,28.4,23863.0,13243.0,2006
517,19.4,35136.0,13245.0,2006
518,11.4,55386.0,13247.0,2006
519,18.0,35519.0,13249.0,2006
520,18.5,32592.0,13251.0,2006
521,24.6,30022.0,13253.0,2006
522,20.6,40483.0,13255.0,2006
