,poverty_rate,per_capita_income_2004,fips,year
2,11.6,45379,1001,2004
3,10,42227,1003,2004
4,23.9,26495,1005,2004
5,17.1,34055,1007,2004
6,12.4,38643,1009,2004
7,30.3,20485,1011,2004
8,21,27244,1013,2004
9,16.9,34813,1015,2004
10,17.2,30573,1017,2004
11,16.1,33564,1019,2004
12,14.8,35507,1021,2004
13,20.2,27690,1023,2004
14,20.9,28776,1025,2004
15,13.9,31194,1027,2004
16,14.7,34128,1029,2004
17,14.2,37066,1031,2004
18,14.7,34575,1033,2004
19,23.1,24334,1035,2004
20,14,30173,1037,2004
21,18.7,29237,1039,2004
22,18.6,28909,1041,2004
23,13.8,35150,1043,2004
24,16.7,34065,1045,2004
25,27.4,24949,1047,2004
26,15.8,32286,1049,2004
27,12.5,43645,1051,2004
28,20.1,29330,1053,2004
29,16.1,32727,1055,2004
30,17.4,30595,1057,2004
31,17.8,29234,1059,2004
32,18.1,28787,1061,2004
33,26.5,22439,1063,2004
34,22,26841,1065,2004
35,17.1,32441,1067,2004
36,15.8,36616,1069,2004
37,15.3,33733,1071,2004
38,15.4,38520,1073,2004
39,16.8,29337,1075,2004
40,16.2,35166,1077,2004
41,14.7,34998,1079,2004
42,16,34660,1081,2004
43,12.7,41830,1083,2004
44,25.5,24967,1085,2004
45,28.3,23378,1087,2004
46,11.7,49441,1089,2004
47,21.3,29138,1091,2004
48,17.9,28781,1093,2004
49,15.8,34855,1095,2004
50,20,33191,1097,2004
51,18.5,30228,1099,2004
52,19.4,35680,1101,2004
53,14,40978,1103,2004
54,30.4,21640,1105,2004
55,20.8,27737,1107,2004
56,21.4,28077,1109,2004
57,16.1,30973,1111,2004
58,19.4,29680,1113,2004
59,13.1,41086,1115,2004
60,7,61972,1117,2004
61,28.3,21189,1119,2004
62,17.8,34418,1121,2004
63,17.1,31464,1123,2004
64,17.2,36598,1125,2004
65,16.2,32634,1127,2004
66,18.1,32147,1129,2004
67,30.4,19682,1131,2004
68,17.2,28764,1133,2004
70,12.7,39828,2013,2004
71,7.4,50670,2016,2004
72,8.9,56604,2020,2004
73,20.7,36057,2050,2004
74,7.6,57963,2060,2004
75,6,55983,2068,2004
76,17.6,40449,2070,2004
77,8,53085,2090,2004
78,10.7,40150,2100,2004
79,7.5,60195,2110,2004
80,9.7,48474,2122,2004
81,8.4,51328,2130,2004
82,8.5,52734,2150,2004
83,16.6,31869,2164,2004
84,10.3,56084,2170,2004
85,18.2,40010,2180,2004
86,12.4,58761,2185,2004
87,18,42226,2188,2004
88,13.9,36555,2201,2004
89,7.7,51494,2220,2004
90,11.2,40614,2232,2004
91,13.7,44889,2240,2004
92,9,51062,2261,2004
93,26,27077,2270,2004
94,9.7,46189,2280,2004
95,9.8,42353,2282,2004
96,18.6,30930,2290,2004
98,29.8,26592,4001,2004
99,17.1,36585,4003,2004
100,16.5,40040,4005,2004
101,18.2,33412,4007,2004
102,22.3,31387,4009,2004
103,12.5,43095,4011,2004
104,18.9,26722,4012,2004
105,13.3,48304,4013,2004
106,15.4,34126,4015,2004
107,23.7,31554,4017,2004
108,15.6,38687,4019,2004
109,15.1,40255,4021,2004
110,19.1,32901,4023,2004
111,12.6,37309,4025,2004
112,18.4,34230,4027,2004
114,16.8,33764,5001,2004
115,18,33039,5003,2004
116,13.4,31300,5005,2004
117,9.5,47431,5007,2004
118,14.4,32721,5009,2004
119,20.4,27661,5011,2004
120,14.8,30618,5013,2004
121,14.3,29437,5015,2004
122,28,22319,5017,2004
123,17.1,30681,5019,2004
124,16.2,28389,5021,2004
125,13.7,33053,5023,2004
126,14.4,36335,5025,2004
127,19.8,30193,5027,2004
128,16.1,32865,5029,2004
129,15.4,35418,5031,2004
130,14.3,36527,5033,2004
131,21.9,31381,5035,2004
132,18.9,30771,5037,2004
133,18.5,27876,5039,2004
