,poverty_rate,per_capita_income_2005,fips,year
195,14.2,39186,6011.0,2005
196,8.1,69463,6013.0,2005
197,22.5,32724,6015.0,2005
198,7.4,62199,6017.0,2005
199,20.8,41390,6019.0,2005
200,17.5,35707,6021.0,2005
201,16.5,33923,6023.0,2005
202,21.3,35085,6025.0,2005
203,11.6,39911,6027.0,2005
204,20.8,40146,6029.0,2005
205,20.6,40433,6031.0,2005
206,18.3,34874,6033.0,2005
207,16.9,41423,6035.0,2005
208,16.2,48166,6037.0,2005
209,18.3,44655,6039.0,2005
210,6.5,78009,6041.0,2005
211,12.7,39891,6043.0,2005
212,17,40149,6045.0,2005
213,18.6,40039,6047.0,2005
214,20.4,29506,6049.0,2005
215,9.3,49703,6051.0,2005
216,14.1,55723,6053.0,2005
217,7.5,62836,6055.0,2005
218,7.5,51582,6057.0,2005
219,8.9,65823,6059.0,2005
220,5.6,62777,6061.0,2005
221,11.6,40982,6063.0,2005
222,11.5,52029,6065.0,2005
223,13.6,51713,6067.0,2005
224,10.1,62215,6069.0,2005
225,15,48761,6071.0,2005
226,11,56224,6073.0,2005
227,12.2,57476,6075.0,2005
228,14.7,48828,6077.0,2005
229,13.5,49313,6079.0,2005
230,6.9,74286,6081.0,2005
231,12.7,54721,6083.0,2005
232,8.4,76686,6085.0,2005
233,11.8,57506,6087.0,2005
234,13.8,41254,6089.0,2005
235,10.7,39380,6091.0,2005
236,17.5,35039,6093.0,2005
237,9.2,61784,6095.0,2005
238,8.9,58110,6097.0,2005
239,14.5,46769,6099.0,2005
240,11.9,44914,6101.0,2005
241,17.8,33903,6103.0,2005
242,16,31434,6105.0,2005
243,23.2,38179,6107.0,2005
244,12.2,42381,6109.0,2005
245,9.7,66531,6111.0,2005
246,15.2,49378,6113.0,2005
247,17.1,35786,6115.0,2005
249,11.5,50798,8001.0,2005
250,22.2,32642,8003.0,2005
251,9,55159,8005.0,2005
252,11.6,41860,8007.0,2005
253,18.5,28804,8009.0,2005
254,22.9,30166,8011.0,2005
255,11.2,58334,8013.0,2005
256,4.9,67067,8014.0,2005
257,12.8,40120,8015.0,2005
258,13,39252,8017.0,2005
259,6.9,61937,8019.0,2005
260,23.1,28010,8021.0,2005
261,27.8,21920,8023.0,2005
262,31.3,27107,8025.0,2005
263,12.8,40946,8027.0,2005
264,14,35358,8029.0,2005
265,15.6,42576,8031.0,2005
266,13.5,35384,8033.0,2005
267,2.9,90143,8035.0,2005
268,6.6,63848,8037.0,2005
269,5.2,69074,8039.0,2005
270,10.7,50878,8041.0,2005
271,15.2,36403,8043.0,2005
272,7.9,52189,8045.0,2005
273,5.5,56911,8047.0,2005
274,8,51043,8049.0,2005
275,13.6,40436,8051.0,2005
276,8.7,42012,8053.0,2005
277,22.8,28334,8055.0,2005
278,13.8,34281,8057.0,2005
279,7.2,60996,8059.0,2005
280,12.9,31289,8061.0,2005
281,14.9,35157,8063.0,2005
282,14.8,38960,8065.0,2005
283,11.1,46881,8067.0,2005
284,11.5,49188,8069.0,2005
285,17.4,32246,8071.0,2005
286,18,34960,8073.0,2005
287,14,36134,8075.0,2005
288,12.5,39750,8077.0,2005
289,10.1,40134,8079.0,2005
290,10.3,46983,8081.0,2005
291,17.2,35329,8083.0,2005
292,13.1,38911,8085.0,2005
293,13.1,35805,8087.0,2005
294,20.4,32866,8089.0,2005
295,7.6,48855,8091.0,2005
