,year,fips,cases_chlamydia,cases_gonorrhea,total_pop
162,2000,72021,0.0,0.0,
163,2000,55007,0.0,0.0,
164,2000,48023,8.0,3.0,
165,2000,46005,25.0,0.0,
166,2000,16007,2.0,0.0,
167,2000,37013,0.0,0.0,
168,2000,45013,171.0,143.0,
169,2000,22011,0.0,0.0,
170,2000,40007,3.0,0.0,
171,2000,42007,0.0,0.0,
172,2000,49001,6.0,1.0,
173,2000,30001,0.0,0.0,
174,2000,27005,23.0,0.0,
175,2000,40009,25.0,2.0,
176,2000,42009,0.0,0.0,
177,2000,47003,0.0,0.0,
178,2000,51019,54.0,29.0,
179,2000,48025,112.0,30.0,
180,2000,33001,54.0,7.0,
181,2000,21013,39.0,1.0,
182,2000,48027,2025.0,837.0,
183,2000,39013,53.0,24.0,
184,2000,27007,78.0,6.0,
185,2000,13017,0.0,0.0,
186,2000,16009,11.0,0.0,
187,2000,46007,13.0,1.0,
188,2000,50003,11.0,3.0,
189,2000,38005,0.0,0.0,
190,2000,8011,0.0,0.0,
191,2000,5007,130.0,16.0,
192,2000,19011,24.0,3.0,
193,2000,18007,0.0,0.0,
194,2000,27009,23.0,10.0,
195,2000,29015,15.0,3.0,
196,2000,28009,16.0,9.0,
197,2000,41003,101.0,9.0,
198,2000,47005,0.0,0.0,
199,2000,53005,306.0,6.0,
200,2000,26019,10.0,0.0,
201,2000,34003,375.0,102.0,
202,2000,45015,121.0,128.0,
203,2000,54003,0.0,0.0,
204,2000,42011,0.0,0.0,
205,2000,25003,0.0,0.0,
206,2000,35001,2368.0,697.0,
207,2000,13019,0.0,0.0,
208,2000,26021,606.0,505.0,
209,2000,37015,0.0,0.0,
210,2000,2050,212.0,55.0,
211,2000,48029,5871.0,2298.0,
212,2000,1007,53.0,29.0,
213,2000,13021,0.0,0.0,
214,2000,22013,0.0,0.0,
215,2000,30003,0.0,0.0,
216,2000,56003,8.0,1.0,
217,2000,27011,2.0,1.0,
218,2000,38007,0.0,0.0,
219,2000,16011,45.0,1.0,
220,2000,19013,516.0,169.0,
221,2000,18009,0.0,0.0,
222,2000,37017,0.0,0.0,
223,2000,16013,7.0,1.0,
224,2000,30005,0.0,0.0,
225,2000,31009,1.0,0.0,
226,2000,40011,24.0,5.0,
227,2000,42013,0.0,0.0,
228,2000,48031,7.0,3.0,
229,2000,51021,3.0,0.0,
230,2000,13023,0.0,0.0,
231,2000,47007,0.0,0.0,
232,2000,1009,31.0,2.0,
233,2000,47009,0.0,0.0,
234,2000,27013,87.0,19.0,
235,2000,16015,7.0,0.0,
236,2000,28011,215.0,168.0,
237,2000,29017,3.0,2.0,
238,2000,46009,3.0,0.0,
239,2000,17005,16.0,2.0,
240,2000,16017,38.0,2.0,
241,2000,16019,116.0,3.0,
242,2000,5009,35.0,5.0,
243,2000,19015,20.0,2.0,
244,2000,17007,52.0,15.0,
245,2000,18011,0.0,0.0,
246,2000,21015,139.0,37.0,
247,2000,29019,447.0,233.0,
248,2000,31011,2.0,0.0,
249,2000,54005,0.0,0.0,
250,2000,48033,0.0,0.0,
251,2000,48035,25.0,3.0,
252,2000,22015,0.0,0.0,
253,2000,51023,15.0,4.0,
254,2000,38009,0.0,0.0,
255,2000,8013,0.0,40.0,
256,2000,16021,6.0,0.0,
257,2000,20011,27.0,4.0,
258,2000,21017,15.0,16.0,
259,2000,48037,465.0,360.0,
260,2000,38011,0.0,0.0,
261,2000,31013,6.0,0.0,
262,2000,49003,9.0,1.0,
263,2000,21019,112.0,21.0,
264,2000,31015,0.0,0.0,
265,2000,21021,64.0,20.0,
266,2000,21023,8.0,0.0,
267,2000,12007,75.0,66.0,
268,2000,42015,0.0,0.0,
269,2000,5011,31.0,11.0,
270,2000,47011,0.0,0.0,
271,2000,26023,76.0,11.0,
272,2000,13025,0.0,0.0,
273,2000,54007,0.0,0.0,
274,2000,48039,398.0,102.0,
275,2000,48041,579.0,278.0,
276,2000,21025,12.0,0.0,
277,2000,21027,13.0,3.0,
278,2000,19017,19.0,5.0,
279,2000,12009,716.0,374.0,
280,2000,48043,30.0,1.0,
281,2000,48045,1.0,0.0,
282,2000,2060,3.0,0.0,
283,2000,51520,46.0,8.0,
284,2000,25005,0.0,0.0,
285,2000,44001,26.0,4.0,
286,2000,30007,0.0,0.0,
287,2000,36005,0.0,0.0,
288,2000,54009,0.0,0.0,
289,2000,46011,22.0,1.0,
290,2000,13027,0.0,0.0,
291,2000,48047,34.0,9.0,
292,2000,36007,0.0,0.0,
293,2000,8014,0.0,0.0,
294,2000,12011,3286.0,2137.0,
295,2000,17009,10.0,0.0,
296,2000,18013,0.0,0.0,
297,2000,20013,14.0,1.0,
298,2000,27015,16.0,0.0,
299,2000,31017,3.0,1.0,
300,2000,39015,54.0,12.0,
301,2000,46013,54.0,5.0,
302,2000,48049,56.0,12.0,
303,2000,55009,0.0,0.0,
304,2000,46015,18.0,0.0,
305,2000,37019,0.0,0.0,
306,2000,51025,54.0,26.0,
307,2000,13029,0.0,0.0,
308,2000,40013,78.0,13.0,
309,2000,19019,15.0,0.0,
310,2000,29021,274.0,57.0,
311,2000,51027,8.0,1.0,
312,2000,51029,35.0,8.0,
313,2000,42017,0.0,0.0,
314,2000,51530,18.0,0.0,
315,2000,19021,37.0,4.0,
316,2000,31019,67.0,2.0,
317,2000,46017,14.0,0.0,
318,2000,55011,0.0,0.0,
319,2000,21029,54.0,9.0,
320,2000,13031,0.0,0.0,
321,2000,1011,92.0,56.0,
322,2000,37021,0.0,0.0,
323,2000,17011,31.0,3.0,
324,2000,13033,0.0,0.0,
325,2000,37023,0.0,0.0,
326,2000,38013,0.0,0.0,
327,2000,38015,0.0,0.0,
328,2000,48051,39.0,24.0,
329,2000,34005,430.0,272.0,
330,2000,48053,60.0,11.0,
331,2000,55013,0.0,0.0,
332,2000,31021,7.0,0.0,
333,2000,1013,139.0,93.0,
334,2000,19023,9.0,1.0,
335,2000,20015,73.0,8.0,
336,2000,21031,6.0,1.0,
337,2000,29023,84.0,27.0,
338,2000,31023,4.0,0.0,
339,2000,39017,628.0,181.0,
340,2000,42019,0.0,0.0,
341,2000,6007,0.0,0.0,
342,2000,16023,3.0,0.0,
343,2000,46019,9.0,1.0,
344,2000,13035,0.0,0.0,
345,2000,37025,0.0,0.0,
346,2000,54011,0.0,0.0,
347,2000,72023,0.0,0.0,
348,2000,49005,61.0,3.0,
349,2000,40015,72.0,18.0,
350,2000,22017,0.0,0.0,
351,2000,72025,0.0,0.0,
352,2000,6009,0.0,0.0,
353,2000,22019,0.0,0.0,
354,2000,21033,24.0,13.0,
355,2000,29025,6.0,0.0,
356,2000,37027,0.0,0.0,
357,2000,48055,80.0,16.0,
358,2000,22021,0.0,0.0,
359,2000,50005,15.0,0.0,
360,2000,1015,433.0,333.0,
361,2000,5013,9.0,5.0,
362,2000,12013,9.0,5.0,
363,2000,13037,0.0,0.0,
364,2000,19025,8.0,1.0,
365,2000,17013,6.0,0.0,
366,2000,26025,445.0,357.0,
367,2000,28013,36.0,21.0,
368,2000,45017,43.0,13.0,
369,2000,48057,62.0,9.0,
370,2000,54013,0.0,0.0,
371,2000,48059,15.0,5.0,
372,2000,29027,65.0,27.0,
373,2000,21035,56.0,10.0,
374,2000,55015,0.0,0.0,
375,2000,24009,0.0,0.0,
376,2000,16025,0.0,0.0,
377,2000,42021,0.0,0.0,
378,2000,13039,0.0,0.0,
379,2000,29029,26.0,0.0,
380,2000,37029,0.0,0.0,
381,2000,34007,1197.0,997.0,
382,2000,42023,0.0,0.0,
383,2000,48061,1121.0,120.0,
384,2000,22023,0.0,0.0,
385,2000,48063,26.0,12.0,
386,2000,21037,168.0,66.0,
387,2000,46021,0.0,0.0,
388,2000,47013,0.0,0.0,
389,2000,51031,88.0,51.0,
390,2000,56005,40.0,2.0,
391,2000,72027,0.0,0.0,
392,2000,40017,102.0,23.0,
393,2000,13043,0.0,0.0,
394,2000,47015,0.0,0.0,
395,2000,16027,224.0,30.0,
396,2000,72029,0.0,0.0,
397,2000,29031,151.0,108.0,
398,2000,34009,99.0,36.0,
399,2000,30009,0.0,0.0,
400,2000,42025,0.0,0.0,
401,2000,49007,10.0,0.0,
402,2000,56007,18.0,3.0,
403,2000,16029,4.0,0.0,
404,2000,21039,6.0,0.0,
405,2000,27017,24.0,5.0,
406,2000,72031,0.0,0.0,
407,2000,24011,0.0,0.0,
408,2000,51033,51.0,17.0,
409,2000,5015,35.0,4.0,
410,2000,13045,0.0,0.0,
411,2000,19027,6.0,0.0,
412,2000,17015,11.0,2.0,
413,2000,18015,0.0,0.0,
414,2000,21041,17.0,2.0,
415,2000,24013,0.0,0.0,
416,2000,29033,5.0,1.0,
417,2000,28015,20.0,15.0,
418,2000,33003,21.0,0.0,
419,2000,39019,25.0,4.0,
420,2000,47017,0.0,0.0,
421,2000,51035,14.0,0.0,
422,2000,32510,87.0,11.0,
423,2000,48065,4.0,2.0,
424,2000,21043,25.0,3.0,
425,2000,29035,1.0,0.0,
426,2000,30011,0.0,0.0,
427,2000,40019,92.0,77.0,
428,2000,47019,0.0,0.0,
429,2000,37031,0.0,0.0,
430,2000,27019,27.0,6.0,
431,2000,30013,0.0,0.0,
432,2000,21045,8.0,0.0,
433,2000,19029,19.0,0.0,
434,2000,17017,18.0,1.0,
435,2000,18017,0.0,0.0,
436,2000,26027,74.0,15.0,
437,2000,27021,34.0,3.0,
438,2000,29037,50.0,14.0,
439,2000,38017,0.0,0.0,
440,2000,31025,26.0,5.0,
441,2000,48067,89.0,43.0,
442,2000,16031,24.0,2.0,
443,2000,48069,33.0,6.0,
444,2000,37033,0.0,0.0,
445,2000,22025,0.0,0.0,
446,2000,37035,0.0,0.0,
447,2000,72033,0.0,0.0,
448,2000,13047,0.0,0.0,
449,2000,35003,1.0,0.0,
450,2000,36009,0.0,0.0,
451,2000,38019,0.0,0.0,
452,2000,72035,0.0,0.0,
453,2000,36011,0.0,0.0,
454,2000,24015,0.0,0.0,
455,2000,19031,12.0,1.0,
456,2000,29039,13.0,3.0,
457,2000,31027,1.0,0.0,
458,2000,72037,0.0,0.0,
459,2000,42027,0.0,0.0,
460,2000,19033,56.0,15.0,
461,2000,8015,0.0,0.0,
462,2000,1017,160.0,118.0,
463,2000,48071,34.0,2.0,
464,2000,17019,900.0,518.0,
465,2000,39021,30.0,8.0,
466,2000,29041,6.0,5.0,
467,2000,51036,38.0,17.0,
468,2000,24017,0.0,0.0,
469,2000,46023,42.0,1.0,
470,2000,45019,949.0,1049.0,
471,2000,26029,34.0,0.0,
472,2000,12015,116.0,37.0,
473,2000,51037,30.0,5.0,
474,2000,51540,333.0,69.0,
475,2000,13049,0.0,0.0,
476,2000,20017,4.0,1.0,
477,2000,31029,0.0,0.0,
478,2000,13051,0.0,0.0,
479,2000,37037,0.0,0.0,
480,2000,13053,0.0,0.0,
481,2000,13055,0.0,0.0,
482,2000,20019,0.0,1.0,
483,2000,36013,0.0,0.0,
484,2000,35005,220.0,19.0,
485,2000,47021,0.0,0.0,
486,2000,26031,12.0,1.0,
487,2000,53007,118.0,6.0,
488,2000,36015,0.0,0.0,
489,2000,36017,0.0,0.0,
490,2000,1019,26.0,22.0,
491,2000,13057,0.0,0.0,
492,2000,19035,11.0,2.0,
493,2000,20021,12.0,4.0,
494,2000,37039,0.0,0.0,
495,2000,40021,134.0,36.0,
496,2000,45021,105.0,66.0,
497,2000,48073,149.0,57.0,
498,2000,31031,1.0,0.0,
499,2000,51550,455.0,323.0,
500,2000,33005,56.0,8.0,
501,2000,42029,0.0,0.0,
502,2000,45023,93.0,67.0,
503,2000,47023,0.0,0.0,
504,2000,45025,120.0,74.0,
505,2000,51041,240.0,123.0,
506,2000,8017,0.0,0.0,
507,2000,20023,2.0,0.0,
508,2000,31033,5.0,0.0,
509,2000,19037,6.0,1.0,
510,2000,28017,82.0,79.0,
511,2000,5017,56.0,19.0,
512,2000,48075,23.0,9.0,
513,2000,1021,51.0,36.0,
514,2000,26033,48.0,0.0,
515,2000,27023,4.0,0.0,
516,2000,55017,0.0,0.0,
517,2000,27025,18.0,2.0,
518,2000,50007,196.0,41.0,
519,2000,1023,43.0,18.0,
520,2000,28019,25.0,11.0,
521,2000,40023,42.0,12.0,
522,2000,30015,0.0,0.0,
523,2000,37041,0.0,0.0,
524,2000,17021,19.0,4.0,
525,2000,21047,643.0,370.0,
526,2000,29043,67.0,11.0,
527,2000,32001,37.0,2.0,
528,2000,72039,0.0,0.0,
529,2000,35006,67.0,10.0,
530,2000,72041,0.0,0.0,
531,2000,40025,2.0,0.0,
532,2000,12017,132.0,31.0,
533,2000,41005,412.0,60.0,
534,2000,28021,44.0,32.0,
535,2000,47025,0.0,0.0,
536,2000,22027,0.0,0.0,
537,2000,53009,79.0,7.0,
