,poverty_rate,fips,year,per_capita_income_2022
176,16.1,1045,2002,52969.95
177,15.7,1045,2003,52766.14000000001
178,16.7,1045,2004,53141.4
179,16,1045,2005,55361.44
180,16.9,1045,2006,53974.74
181,16.7,1045,2007,58523.88
182,15.0,1045,2008,57870.450000000004
183,16.2,1045,2009,56552.23
184,25.0,1047,2002,39157.799999999996
185,25.2,1047,2003,39374.16
186,27.4,1047,2004,38920.44
187,34.9,1047,2005,37902.72
188,28.2,1047,2006,38157.1
189,30.2,1047,2007,39258.74
190,29.9,1047,2008,37789.200000000004
191,35.0,1047,2009,37110.560000000005
192,16.1,1049,2002,50046.149999999994
193,15.1,1049,2003,50409.100000000006
194,15.8,1049,2004,50366.16
195,19.4,1049,2005,47881.520000000004
196,17.1,1049,2006,46154.979999999996
197,18.4,1049,2007,50492.36
198,18.7,1049,2008,47758.950000000004
199,21.7,1049,2009,46469.030000000006
200,13.0,1051,2002,67725.9
201,12.4,1051,2003,68726.07
202,12.5,1051,2004,68086.2
203,13.1,1051,2005,69120.48
204,13.0,1051,2006,73008.76
205,11.3,1051,2007,69854.06
206,11.4,1051,2008,71949.6
207,14.2,1051,2009,68765.78
208,20.2,1053,2002,45723.149999999994
209,18.7,1053,2003,46058.880000000005
210,20.1,1053,2004,45754.8
211,22.2,1053,2005,46512.0
212,22.4,1053,2006,47952.24
213,22.4,1053,2007,49153.299999999996
214,24.1,1053,2008,43212.15
215,22.0,1053,2009,43076.91
216,16.5,1055,2002,50315.1
217,15.7,1055,2003,50734.32
218,16.1,1055,2004,51054.12
219,15.8,1055,2005,50118.96
220,16.7,1055,2006,47374.08
221,17.4,1055,2007,50296.399999999994
222,16.7,1055,2008,50306.4
223,17.2,1055,2009,52847.75000000001
224,16.5,1057,2002,48359.85
225,16.1,1057,2003,48647.76
226,17.4,1057,2004,47728.200000000004
227,17.9,1057,2005,48214.4
228,16.7,1057,2006,50318.9
229,17.2,1057,2007,51058.939999999995
230,19.8,1057,2008,46024.200000000004
231,19.6,1057,2009,46938.94
232,18.0,1059,2002,45160.5
233,17.4,1059,2003,45525.97
234,17.8,1059,2004,45605.04
235,19.5,1059,2005,45140.96
236,17.0,1059,2006,45130.06
237,20.1,1059,2007,43686.299999999996
238,19.5,1059,2008,47584.8
239,21.8,1059,2009,44645.560000000005
240,18.6,1061,2002,44847.0
241,17.6,1061,2003,45144.4
242,18.1,1061,2004,44907.72
243,20.3,1061,2005,44827.840000000004
244,19.5,1061,2006,44135.799999999996
245,19.5,1061,2007,47902.28
246,17.8,1061,2008,43236.450000000004
247,19.4,1061,2009,42945.39000000001
248,27.3,1063,2002,34258.95
249,25.1,1063,2003,35360.43
250,26.5,1063,2004,35004.840000000004
251,33.9,1063,2005,34102.72
252,33.2,1063,2006,34169.84
253,31.3,1063,2007,35694.54
254,30.3,1063,2008,35101.350000000006
255,28.4,1063,2009,35799.47
256,22.6,1065,2002,41449.649999999994
257,20.8,1065,2003,42082.18
258,22,1065,2004,41871.96
259,30.4,1065,2005,41853.2
260,24.9,1065,2006,42731.28
261,24.0,1065,2007,44703.02
262,26.0,1065,2008,41972.850000000006
263,26.6,1065,2009,41269.880000000005
264,16.3,1067,2002,50381.1
265,16.3,1067,2003,50721.44
266,17.1,1067,2004,50607.96
267,17.6,1067,2005,50450.32
268,17.8,1067,2006,51681.08
269,17.9,1067,2007,49807.92
270,18.6,1067,2008,49211.55
271,18.7,1067,2009,48244.55
272,15.4,1069,2002,57098.25
273,15.3,1069,2003,57744.26
274,15.8,1069,2004,57120.96
275,14.9,1069,2005,57679.44
276,16.3,1069,2006,54625.9
277,15.7,1069,2007,57454.619999999995
278,15.1,1069,2008,57406.05
279,17.7,1069,2009,53088.87
280,14.9,1071,2002,53258.7
281,14.4,1071,2003,53336.08
282,15.3,1071,2004,52623.48
283,18.8,1071,2005,48956.16
284,15.5,1071,2006,54815.7
285,17.6,1071,2007,51372.759999999995
286,16.9,1071,2008,49405.950000000004
287,16.4,1071,2009,47970.55
