,poverty_rate,fips,year,per_capita_income_2022,total_pop,employed_persons,unemployment_rate
98,20.9,1025,2004,44890.560000000005,26958.0,9483.0,8.8
99,20.9,1025,2005,44887.12,26764.0,9457.0,6.3
100,25.6,1025,2006,43302.14,26755.0,9636.0,6.2
101,21.8,1025,2007,46330.34,26436.0,9744.0,6.2
102,20.6,1025,2008,46036.350000000006,26283.0,9401.0,9.3
103,29.1,1025,2009,44838.73,26038.0,8728.0,15.2
104,14.2,1027,2002,47462.25,14257.0,5780.0,6.2
105,14.0,1027,2003,47424.16,14203.0,5516.0,7.2
106,13.9,1027,2004,48662.64,14121.0,5525.0,6.3
107,15.8,1027,2005,50938.24,14077.0,5642.0,4.9
108,15.6,1027,2006,47467.52,14053.0,5911.0,4.5
109,15.5,1027,2007,51132.78,14085.0,5784.0,5.6
110,16.9,1027,2008,44593.200000000004,14161.0,5269.0,8.2
111,19.2,1027,2009,47718.47,14006.0,4737.0,15.4
112,15.2,1029,2002,51742.35,14416.0,6454.0,5.0
113,14.0,1029,2003,52862.740000000005,14438.0,6295.0,6.0
114,14.7,1029,2004,53239.68,14339.0,6340.0,5.2
115,15.5,1029,2005,52116.24,14368.0,6382.0,3.9
116,15.9,1029,2006,51273.74,14538.0,6415.0,3.5
117,15.4,1029,2007,55263.56,14799.0,6255.0,3.7
118,14.8,1029,2008,50951.700000000004,14874.0,6213.0,5.2
119,17.0,1029,2009,51881.9,14918.0,5893.0,9.3
120,14.4,1031,2002,57124.649999999994,43930.0,18354.0,5.2
121,13.7,1031,2003,57539.79,44315.0,18917.0,5.5
122,14.2,1031,2004,57822.96,45053.0,19173.0,5.3
123,15.1,1031,2005,56278.0,45604.0,19277.0,3.9
124,14.2,1031,2006,60468.82,46228.0,19945.0,3.7
125,16.5,1031,2007,52282.979999999996,47458.0,20304.0,3.9
126,15.2,1031,2008,58245.75000000001,48516.0,19859.0,5.0
127,15.7,1031,2009,59315.520000000004,49440.0,19755.0,7.8
128,14.2,1033,2002,53139.899999999994,54536.0,22957.0,8.4
129,14.0,1033,2003,54015.5,54279.0,22821.0,7.5
130,14.7,1033,2004,53937.0,54380.0,23030.0,7.0
131,15.7,1033,2005,54096.8,54359.0,23557.0,5.4
132,14.4,1033,2006,53567.4,54413.0,24162.0,4.6
133,16.5,1033,2007,53292.6,54486.0,24250.0,4.7
134,12.7,1033,2008,53928.450000000004,54473.0,23478.0,6.7
135,16.0,1033,2009,50842.07000000001,54426.0,22625.0,10.7
136,22.6,1035,2002,38553.9,13793.0,4754.0,8.2
137,22.1,1035,2003,38198.86,13585.0,4728.0,8.5
138,23.1,1035,2004,37961.04,13430.0,4639.0,8.4
139,27.7,1035,2005,37372.24,13421.0,4855.0,6.1
140,26.3,1035,2006,37948.32,13603.0,4840.0,5.6
141,24.7,1035,2007,39128.1,13441.0,4653.0,6.5
142,24.9,1035,2008,36541.8,13388.0,4413.0,9.7
143,27.5,1035,2009,36828.340000000004,13274.0,3959.0,18.4
144,15.3,1037,2002,47815.35,11740.0,4712.0,9.3
145,13.5,1037,2003,47979.61,11732.0,4662.0,8.2
146,14,1037,2004,47069.880000000005,11560.0,4569.0,7.0
147,18.7,1037,2005,47335.840000000004,11467.0,4635.0,5.0
148,16.7,1037,2006,47339.04,11451.0,4531.0,5.5
149,15.1,1037,2007,49227.14,11439.0,4421.0,5.9
150,15.7,1037,2008,48667.5,11493.0,4266.0,8.5
151,16.7,1037,2009,47669.15,11410.0,3884.0,14.8
152,17.8,1039,2002,45629.1,36901.0,16128.0,5.9
153,17.5,1039,2003,46158.700000000004,36860.0,16182.0,6.9
154,18.7,1039,2004,45609.72,36806.0,16051.0,6.6
155,18.4,1039,2005,46887.44,37204.0,16131.0,4.5
156,16.9,1039,2006,44227.78,37441.0,16553.0,3.8
157,19.4,1039,2007,46135.799999999996,37631.0,16432.0,4.0
158,18.9,1039,2008,45593.55,37545.0,15773.0,6.1
159,22.5,1039,2009,44085.23,37648.0,15021.0,9.9
160,17.9,1041,2002,45251.25,13635.0,5489.0,6.1
161,17.6,1041,2003,45656.380000000005,13652.0,5541.0,6.8
162,18.6,1041,2004,45098.04,13727.0,5428.0,6.8
163,23.5,1041,2005,44703.2,13699.0,5869.0,4.9
164,20.0,1041,2006,44640.96,13880.0,6341.0,4.0
165,18.3,1041,2007,47081.52,13956.0,6273.0,4.4
166,18.9,1041,2008,46442.700000000004,13922.0,6093.0,5.7
167,20.6,1041,2009,43633.130000000005,14024.0,5810.0,9.6
168,14.0,1043,2002,54154.649999999994,77443.0,35757.0,6.0
169,13.3,1043,2003,54830.16,77657.0,36205.0,5.8
170,13.8,1043,2004,54834.0,78131.0,36544.0,5.1
171,14.7,1043,2005,55773.36,78692.0,36863.0,4.0
172,15.7,1043,2006,52230.04,79044.0,38081.0,3.4
173,14.2,1043,2007,55655.479999999996,79576.0,38100.0,3.4
174,14.8,1043,2008,53022.600000000006,80273.0,37118.0,5.0
175,19.3,1043,2009,51272.25000000001,80351.0,34838.0,9.4
176,16.1,1045,2002,52969.95,49373.0,19162.0,5.7
177,15.7,1045,2003,52766.14000000001,49215.0,19543.0,5.3
178,16.7,1045,2004,53141.4,49245.0,19439.0,5.3
179,16,1045,2005,55361.44,49050.0,19227.0,4.4
180,16.9,1045,2006,53974.74,49077.0,19550.0,4.6
181,16.7,1045,2007,58523.88,49488.0,19477.0,4.0
182,15.0,1045,2008,57870.450000000004,49871.0,18724.0,5.6
183,16.2,1045,2009,56552.23,49854.0,18232.0,8.8
184,25.0,1047,2002,39157.799999999996,45377.0,15224.0,11.4
185,25.2,1047,2003,39374.16,45170.0,14944.0,11.3
186,27.4,1047,2004,38920.44,44795.0,14754.0,9.9
187,34.9,1047,2005,37902.72,44434.0,14603.0,8.5
188,28.2,1047,2006,38157.1,44323.0,14614.0,8.1
189,30.2,1047,2007,39258.74,44194.0,14279.0,8.5
190,29.9,1047,2008,37789.200000000004,44265.0,13732.0,11.5
191,35.0,1047,2009,37110.560000000005,43759.0,12607.0,19.6
192,16.1,1049,2002,50046.149999999994,65861.0,30806.0,5.2
193,15.1,1049,2003,50409.100000000006,66530.0,30498.0,5.7
194,15.8,1049,2004,50366.16,67260.0,30251.0,5.7
195,19.4,1049,2005,47881.520000000004,67794.0,29582.0,5.1
196,17.1,1049,2006,46154.979999999996,68495.0,30219.0,4.1
197,18.4,1049,2007,50492.36,69450.0,29731.0,4.4
198,18.7,1049,2008,47758.950000000004,70228.0,28841.0,6.0
199,21.7,1049,2009,46469.030000000006,70864.0,25834.0,13.1
200,13.0,1051,2002,67725.9,68659.0,30247.0,4.8
201,12.4,1051,2003,68726.07,69935.0,31066.0,5.1
202,12.5,1051,2004,68086.2,71018.0,31718.0,4.8
203,13.1,1051,2005,69120.48,72978.0,33084.0,3.7
204,13.0,1051,2006,73008.76,75246.0,34016.0,3.4
205,11.3,1051,2007,69854.06,77124.0,34669.0,3.4
206,11.4,1051,2008,71949.6,77698.0,34306.0,5.3
207,14.2,1051,2009,68765.78,78632.0,33185.0,8.7
208,20.2,1053,2002,45723.149999999994,38035.0,13659.0,8.7
209,18.7,1053,2003,46058.880000000005,37796.0,13438.0,8.6
210,20.1,1053,2004,45754.8,37713.0,13243.0,7.5
211,22.2,1053,2005,46512.0,37601.0,13500.0,5.5
212,22.4,1053,2006,47952.24,37673.0,13654.0,4.9
213,22.4,1053,2007,49153.299999999996,37839.0,13549.0,5.4
214,24.1,1053,2008,43212.15,37929.0,13295.0,7.8
215,22.0,1053,2009,43076.91,38249.0,12863.0,12.4
216,16.5,1055,2002,50315.1,102988.0,44025.0,6.4
217,15.7,1055,2003,50734.32,103025.0,43543.0,6.5
218,16.1,1055,2004,51054.12,103080.0,44228.0,6.3
219,15.8,1055,2005,50118.96,103174.0,44443.0,4.7
220,16.7,1055,2006,47374.08,103528.0,44610.0,4.2
221,17.4,1055,2007,50296.399999999994,103893.0,43491.0,4.6
222,16.7,1055,2008,50306.4,104206.0,42914.0,6.2
223,17.2,1055,2009,52847.75000000001,104239.0,40128.0,10.5
224,16.5,1057,2002,48359.85,18278.0,7230.0,8.6
225,16.1,1057,2003,48647.76,18178.0,7523.0,6.9
226,17.4,1057,2004,47728.200000000004,18022.0,7343.0,6.8
227,17.9,1057,2005,48214.4,18030.0,7516.0,4.4
228,16.7,1057,2006,50318.9,17767.0,7424.0,4.2
229,17.2,1057,2007,51058.939999999995,17523.0,7049.0,4.8
230,19.8,1057,2008,46024.200000000004,17541.0,6591.0,7.5
231,19.6,1057,2009,46938.94,17310.0,6037.0,12.9
232,18.0,1059,2002,45160.5,30891.0,12190.0,11.2
233,17.4,1059,2003,45525.97,30874.0,12319.0,9.5
234,17.8,1059,2004,45605.04,30768.0,12527.0,6.9
235,19.5,1059,2005,45140.96,30968.0,13030.0,5.3
236,17.0,1059,2006,45130.06,31134.0,13310.0,4.6
237,20.1,1059,2007,43686.299999999996,31004.0,13126.0,4.7
238,19.5,1059,2008,47584.8,31459.0,12363.0,7.7
239,21.8,1059,2009,44645.560000000005,31589.0,11547.0,12.3
240,18.6,1061,2002,44847.0,25580.0,11163.0,4.9
241,17.6,1061,2003,45144.4,25702.0,11114.0,5.6
242,18.1,1061,2004,44907.72,25772.0,11132.0,4.9
243,20.3,1061,2005,44827.840000000004,25988.0,11149.0,3.9
244,19.5,1061,2006,44135.799999999996,26271.0,11274.0,3.7
245,19.5,1061,2007,47902.28,26322.0,11153.0,3.5
246,17.8,1061,2008,43236.450000000004,26646.0,10697.0,5.7
247,19.4,1061,2009,42945.39000000001,26653.0,10043.0,9.9
248,27.3,1063,2002,34258.95,9893.0,3234.0,8.5
